number,value,datetime_start,datetime_complete,duration,params_dropout,params_grad_clip,params_hidden_dim,params_lr,params_optimizer,params_scheduler,params_weight_decay,state
0,1.3285727771907214,2026-07-12 12:50:56.979350,2026-07-12 12:54:06.836407,0 days 00:03:09.857057,0.3181131223648118,1.0,128,0.0001896415576932679,adamw,cosine,0.0001169166408268581,COMPLETE
7,1.3613339807391784,2026-07-12 13:06:34.350700,2026-07-12 13:08:12.436898,0 days 00:01:38.086198,0.2027718488982827,10.0,256,0.00022243786737338522,radam,plateau,8.24541681724865e-05,COMPLETE
3,1.3710794014720047,2026-07-12 12:58:59.770225,2026-07-12 13:00:32.400535,0 days 00:01:32.630310,0.17662383797651554,10.0,256,0.00033376974081085253,adamw,plateau,4.91380870516596e-05,COMPLETE
4,1.3845251478322902,2026-07-12 13:00:32.415613,2026-07-12 13:02:23.758578,0 days 00:01:51.342965,0.012530113002367527,5.0,512,0.0011836839864596618,adamw,plateau,0.00019487686724022047,COMPLETE
10,1.3901404502597206,2026-07-12 13:11:10.929776,2026-07-12 13:13:03.792921,0 days 00:01:52.863145,0.3261319864478515,5.0,256,0.0008151937116404344,adamw,cosine,5.034860688890493e-06,COMPLETE
20,1.3902030133332683,2026-07-12 13:28:47.575562,2026-07-12 13:30:36.184985,0 days 00:01:48.609423,0.10043540570751397,1.0,512,0.0001634241056033572,adam,none,8.501989888191119e-05,COMPLETE
5,1.3953227802251498,2026-07-12 13:02:23.776270,2026-07-12 13:04:32.274763,0 days 00:02:08.498493,0.03197504699895095,10.0,512,0.0013413571616516815,radam,cosine,1.1275783614027781e-06,COMPLETE
6,1.4014058153771956,2026-07-12 13:04:32.288892,2026-07-12 13:06:34.337278,0 days 00:02:02.048386,0.08702562070856504,5.0,128,0.0013056566934481133,adam,plateau,1.7194502711192935e-06,COMPLETE
16,1.412509628325864,2026-07-12 13:22:47.638426,2026-07-12 13:24:19.657572,0 days 00:01:32.019146,0.17428868026239752,1.0,256,0.0005547204291461803,adamw,plateau,0.0008634933328849764,COMPLETE
19,1.416613258968178,2026-07-12 13:27:21.057807,2026-07-12 13:28:47.560251,0 days 00:01:26.502444,0.2125670483254648,10.0,128,0.0005000477962881578,radam,cosine,0.0002824876387541953,COMPLETE
1,1.4322908403867214,2026-07-12 12:54:06.857993,2026-07-12 12:57:35.394565,0 days 00:03:28.536572,0.22778574086852507,5.0,512,0.0010307544328572189,adam,plateau,3.819533825539175e-05,COMPLETE
18,1.4346955195867976,2026-07-12 13:25:50.203726,2026-07-12 13:27:21.041668,0 days 00:01:30.837942,0.3613021335825189,1.0,256,0.0003125416779131666,adamw,plateau,4.675794123237244e-05,COMPLETE
12,1.4413637017864322,2026-07-12 13:15:22.820641,2026-07-12 13:18:04.284738,0 days 00:02:41.464097,0.28307533307951077,1.0,128,0.00019065579264495602,radam,none,9.229926824976225e-05,COMPLETE
9,1.4492014622945146,2026-07-12 13:09:41.205379,2026-07-12 13:11:10.915348,0 days 00:01:29.709969,0.09394643097199645,10.0,256,0.002092651608590919,adamw,plateau,0.0006072125146027614,COMPLETE
14,1.4560002072601925,2026-07-12 13:19:27.801241,2026-07-12 13:21:23.520526,0 days 00:01:55.719285,0.38034339022389924,1.0,256,0.00023093189820900747,radam,cosine,0.0003051216866978963,COMPLETE
13,1.4589119397932075,2026-07-12 13:18:04.304222,2026-07-12 13:19:27.785274,0 days 00:01:23.481052,0.3074965185141425,10.0,128,0.0003598968296040682,radam,cosine,1.6019128472882605e-05,COMPLETE
8,1.4763513177707297,2026-07-12 13:08:12.452274,2026-07-12 13:09:41.154475,0 days 00:01:28.702201,0.17173706597937444,1.0,256,0.0018264133051207085,adamw,none,2.7966743725417496e-06,COMPLETE
15,1.499574779067972,2026-07-12 13:21:23.531976,2026-07-12 13:22:47.625988,0 days 00:01:24.094012,0.23803401468543073,10.0,128,0.00010339508178333509,radam,none,0.00012350766241746235,COMPLETE
11,1.5417655347714179,2026-07-12 13:13:03.809633,2026-07-12 13:15:22.802538,0 days 00:02:18.992905,0.39322831662367863,1.0,128,0.00010217201628864567,adam,cosine,8.346115766751755e-06,COMPLETE
17,1.562122206428758,2026-07-12 13:24:19.672731,2026-07-12 13:25:50.190928,0 days 00:01:30.518197,0.25760246369010675,10.0,128,0.00017289351971117457,radam,cosine,2.037698129838387e-05,COMPLETE
