Filename,Original Path,New Path,Category,Phase,File Type,Status,Checksum
01_Equivariant_Benchmark_Report.md,C:\Users\Harshhhh\.gemini\antigravity\brain\03c21182-9e56-4764-a6fd-83660d6d0fc1\01_Equivariant_Benchmark_Report.md,d:\ProtLigGnn\docs\Research_Notes\01_Equivariant_Benchmark_Report.md,Documentation,N/A,md,Migrated,376f70f108145497475dfe8269b2db72793f7df1883e39e60d560ec89ffc3a40
01_Explainability_Benchmark_Report.md,C:\Users\Harshhhh\.gemini\antigravity\brain\03c21182-9e56-4764-a6fd-83660d6d0fc1\01_Explainability_Benchmark_Report.md,d:\ProtLigGnn\docs\Research_Notes\01_Explainability_Benchmark_Report.md,Documentation,N/A,md,Migrated,9db1d92cf985c1689ea0383c70a8ac81ab51b915699341ce84ed5ce03e4c1649
01_Hybrid_Benchmark_Report.md,C:\Users\Harshhhh\.gemini\antigravity\brain\03c21182-9e56-4764-a6fd-83660d6d0fc1\01_Hybrid_Benchmark_Report.md,d:\ProtLigGnn\docs\Research_Notes\01_Hybrid_Benchmark_Report.md,Documentation,N/A,md,Migrated,8ae07c51f061eaf6c5b84c96ee1660c6e2c0554d167f6384281538a24766d2d5
01_Integration_Report.md,C:\Users\Harshhhh\.gemini\antigravity\brain\03c21182-9e56-4764-a6fd-83660d6d0fc1\01_Integration_Report.md,d:\ProtLigGnn\docs\Research_Notes\01_Integration_Report.md,Documentation,N/A,md,Migrated,14ac526b8d3b90f30d0ae335e778441de58694491cdfdc77eed8471ab1b8a20e
01_Ligand_Benchmark_Report.md,C:\Users\Harshhhh\.gemini\antigravity\brain\03c21182-9e56-4764-a6fd-83660d6d0fc1\01_Ligand_Benchmark_Report.md,d:\ProtLigGnn\docs\Research_Notes\01_Ligand_Benchmark_Report.md,Documentation,N/A,md,Migrated,df00502215e87dfd000769270bbc540cf64c820cce1222151ace714cff3f13f2
01_Protein_Benchmark_Report.md,C:\Users\Harshhhh\.gemini\antigravity\brain\03c21182-9e56-4764-a6fd-83660d6d0fc1\01_Protein_Benchmark_Report.md,d:\ProtLigGnn\docs\Research_Notes\01_Protein_Benchmark_Report.md,Documentation,N/A,md,Migrated,cfb1fe8dc67bb110175f4a8bae3e3ec1956d59c3d0e6b109b3e6c0a5963515d7
01_Robustness_Benchmark_Report.md,C:\Users\Harshhhh\.gemini\antigravity\brain\03c21182-9e56-4764-a6fd-83660d6d0fc1\01_Robustness_Benchmark_Report.md,d:\ProtLigGnn\docs\Research_Notes\01_Robustness_Benchmark_Report.md,Documentation,N/A,md,Migrated,33185286eae7ec817d6cde67602d3465c0d49f1363acd97142e1e224298f93c4
01_Uncertainty_Benchmark_Report.md,C:\Users\Harshhhh\.gemini\antigravity\brain\03c21182-9e56-4764-a6fd-83660d6d0fc1\01_Uncertainty_Benchmark_Report.md,d:\ProtLigGnn\docs\Research_Notes\01_Uncertainty_Benchmark_Report.md,Documentation,N/A,md,Migrated,9a98ab5955b21d8a3675c474bca6d2479376113ad233c2155c84b8ccb34a7a20
02_Calibration_Report.md,C:\Users\Harshhhh\.gemini\antigravity\brain\03c21182-9e56-4764-a6fd-83660d6d0fc1\02_Calibration_Report.md,d:\ProtLigGnn\docs\Research_Notes\02_Calibration_Report.md,Documentation,N/A,md,Migrated,d0fc31be32a28a48e1bbc4c169ce8816358e8ce510d5e143d9275810e6fda434
02_Equivariance_Verification_Report.md,C:\Users\Harshhhh\.gemini\antigravity\brain\03c21182-9e56-4764-a6fd-83660d6d0fc1\02_Equivariance_Verification_Report.md,d:\ProtLigGnn\docs\Research_Notes\02_Equivariance_Verification_Report.md,Documentation,N/A,md,Migrated,54906ce23ed9a38b3ffcf3522deafabb1994774ed4319faf1a03a6054c50ca59
02_Fusion_Strategy_Report.md,C:\Users\Harshhhh\.gemini\antigravity\brain\03c21182-9e56-4764-a6fd-83660d6d0fc1\02_Fusion_Strategy_Report.md,d:\ProtLigGnn\docs\Research_Notes\02_Fusion_Strategy_Report.md,Documentation,N/A,md,Migrated,12e16f924509e3db48a6027a51c6ad7829ecce041fcad914ba28a600191a19bf
02_Integrated_Gradients_Report.md,C:\Users\Harshhhh\.gemini\antigravity\brain\03c21182-9e56-4764-a6fd-83660d6d0fc1\02_Integrated_Gradients_Report.md,d:\ProtLigGnn\docs\Research_Notes\02_Integrated_Gradients_Report.md,Documentation,N/A,md,Migrated,7d143efb31846ea7e6b7f6b0c1c176b150db7ed1f9aefcf1f97a59a808cfa0a8
02_Interface_Report.md,C:\Users\Harshhhh\.gemini\antigravity\brain\03c21182-9e56-4764-a6fd-83660d6d0fc1\02_Interface_Report.md,d:\ProtLigGnn\docs\Research_Notes\02_Interface_Report.md,Documentation,N/A,md,Migrated,ca20b20249b977ea13153ca5169269e23e8c6ad9d7af82d59ff5dc10b864a22f
02_Noise_Analysis_Report.md,C:\Users\Harshhhh\.gemini\antigravity\brain\03c21182-9e56-4764-a6fd-83660d6d0fc1\02_Noise_Analysis_Report.md,d:\ProtLigGnn\docs\Research_Notes\02_Noise_Analysis_Report.md,Documentation,N/A,md,Migrated,a6534b4b6bdd7b78f8f86284649d901bfb8de944dfced175d44f4522c9d9edd7
02_Representation_Learning_Report.md,C:\Users\Harshhhh\.gemini\antigravity\brain\03c21182-9e56-4764-a6fd-83660d6d0fc1\02_Representation_Learning_Report.md,d:\ProtLigGnn\docs\Research_Notes\02_Representation_Learning_Report.md,Documentation,N/A,md,Migrated,abda4f51c8353da467e1def53750c3e464c4643be174f6992e40b43b990cef86
03_Attention_Rollout_Report.md,C:\Users\Harshhhh\.gemini\antigravity\brain\03c21182-9e56-4764-a6fd-83660d6d0fc1\03_Attention_Rollout_Report.md,d:\ProtLigGnn\docs\Research_Notes\03_Attention_Rollout_Report.md,Documentation,N/A,md,Migrated,4bb33f703cfc047bc3913edd066cac7bb29c5c0fc4469394fe61920e17915849
03_Embedding_Quality_Report.md,C:\Users\Harshhhh\.gemini\antigravity\brain\03c21182-9e56-4764-a6fd-83660d6d0fc1\03_Embedding_Quality_Report.md,d:\ProtLigGnn\docs\Research_Notes\03_Embedding_Quality_Report.md,Documentation,N/A,md,Migrated,0618987a6a626628c02f9be1c99b82a74f3c1cf8d7b69f6f90afb1562b1db1a4
03_Geometric_Analysis_Report.md,C:\Users\Harshhhh\.gemini\antigravity\brain\03c21182-9e56-4764-a6fd-83660d6d0fc1\03_Geometric_Analysis_Report.md,d:\ProtLigGnn\docs\Research_Notes\03_Geometric_Analysis_Report.md,Documentation,N/A,md,Migrated,5d5f653d73bfedb108145ce514cf19d070de30985a893cfd8823bb734b473e18
