bin,count,mean_prediction,mean_true,calibration_error
1,10,4.314033508300781,4.342483401298523,-0.0284498929977417
2,10,4.936084985733032,4.483150124549866,0.4529348611831665
3,10,5.365744543075562,6.6186302423477175,-1.2528856992721558
4,10,5.613658475875854,5.850638031959534,-0.23697955608367938
5,10,5.797572231292724,6.343133592605591,-0.5455613613128669
6,10,6.05550479888916,6.381159687042237,-0.3256548881530765
7,10,6.411762380599976,6.534614157676697,-0.12285177707672101
8,10,6.714545154571534,6.102058911323548,0.6124862432479858
9,10,6.985849666595459,6.613499116897583,0.3723505496978756
10,10,7.4717484474182125,7.319231224060059,0.15251722335815376
