bin,count,mean_prediction,mean_true,calibration_error
1,10,4.825860500335693,4.424052846431732,0.401807653903961
2,10,5.223791217803955,6.333652329444885,-1.1098611116409307
3,10,5.54039568901062,6.157778024673462,-0.6173823356628416
4,10,5.79620246887207,6.746800184249878,-0.9505977153778078
5,10,6.128441619873047,6.10325186252594,0.025189757347106934
6,10,6.351239013671875,6.206033611297608,0.14520540237426705
7,10,6.569334602355957,7.114442777633667,-0.5451081752777105
8,10,6.874815177917481,6.980390548706055,-0.10557537078857404
9,10,7.1584312915802,6.629725790023803,0.5287055015563968
10,10,8.062977647781372,9.17307744026184,-1.1100997924804688
