pdb_id,true_affinity,predicted_affinity,residual,absolute_error,squared_error,rank_best,rank_worst,category
2xpk,11.301030158996582,6.394636631011963,-4.906393527984619,4.906393527984619,24.072697451449358,100,1,outlier
3ao4,2.0705809593200684,6.275362014770508,4.2047810554504395,4.2047810554504395,17.68018372427491,99,2,outlier
2ycf,10.522878646850586,6.321895122528076,-4.20098352432251,4.20098352432251,17.648262571629175,98,3,outlier
3rlb,9.920818328857422,6.114903926849365,-3.8059144020080566,3.8059144020080566,14.484984435412343,97,4,outlier
3o9f,12.698969841003418,8.94249439239502,-3.7564754486083984,3.7564754486083984,14.111107795997668,96,5,outlier
2xy9,9.187087059020996,5.907427787780762,-3.2796592712402344,3.2796592712402344,10.756164935432025,95,6,largest_error
3oay,1.6989699602127075,4.964993953704834,3.2660239934921265,3.2660239934921265,10.666912726066258,94,7,largest_error
3n75,7.892789840698242,4.699153423309326,-3.193636417388916,3.193636417388916,10.19931356647271,93,8,largest_error
3ovn,2.552841901779175,5.737505912780762,3.184664011001587,3.184664011001587,10.142084862968716,92,9,largest_error
3p7i,7.701147079467773,4.64277982711792,-3.0583672523498535,3.0583672523498535,9.353610250245993,91,10,largest_error
3qi3,3.7846269607543945,6.7451395988464355,2.960512638092041,2.960512638092041,8.764635080302696,90,11,largest_error
3ao5,2.2291479110717773,5.0938544273376465,2.864706516265869,2.864706516265869,8.206543424336132,89,12,largest_error
3mg8,8.920818328857422,6.3384528160095215,-2.5823655128479004,2.5823655128479004,6.6686116419462,88,13,largest_error
3r02,9.0,6.487781524658203,-2.512218475341797,2.512218475341797,6.3112416678486625,87,14,largest_error
3qsb,5.0809221267700195,7.53677225112915,2.455850124359131,2.455850124359131,6.0311998333147585,86,15,largest_error
3lkj,4.602059841156006,6.9604716300964355,2.3584117889404297,2.3584117889404297,5.562106166213198,85,16,largest_error
3rsx,4.411168098449707,6.689320087432861,2.2781519889831543,2.2781519889831543,5.189976484907902,84,17,largest_error
3qkd,8.376750946044922,6.102213382720947,-2.2745375633239746,2.2745375633239746,5.173521126971764,83,18,largest_error
3rwc,8.119186401367188,5.867738246917725,-2.251448154449463,2.251448154449463,5.0690187921738925,82,19,largest_error
3ro0,4.496345520019531,6.680002212524414,2.183656692504883,2.183656692504883,4.768356550721364,81,20,largest_error
2lya,4.187086582183838,6.357040882110596,2.169954299926758,2.169954299926758,4.708701663770626,80,21,typical
3rti,7.3665313720703125,5.477782726287842,-1.8887486457824707,1.8887486457824707,3.567371446945117,79,22,typical
3rg2,4.200659275054932,6.032196044921875,1.8315367698669434,1.8315367698669434,3.3545269393746366,78,23,typical
3qfz,3.2441251277923584,5.053558349609375,1.8094332218170166,1.8094332218170166,3.274048584215109,77,24,typical
3r5m,4.340083599090576,6.124020099639893,1.7839365005493164,1.7839365005493164,3.182429437992141,76,25,typical
3odi,7.823908805847168,6.051358222961426,-1.7725505828857422,1.7725505828857422,3.1419355688885844,75,26,typical
3oil,5.677780628204346,7.311523914337158,1.6337432861328125,1.6337432861328125,2.669117124984041,74,27,typical
2xno,5.9281182289123535,7.5182976722717285,1.590179443359375,1.590179443359375,2.5286706620827317,73,28,typical
3b25,6.065501689910889,7.65277099609375,1.5872693061828613,1.5872693061828613,2.519423850350222,72,29,typical
2ygu,6.4921441078186035,8.057957649230957,1.5658135414123535,1.5658135414123535,2.451772046470296,71,30,typical
3qd0,8.500312805175781,6.9695210456848145,-1.5307917594909668,1.5307917594909668,2.34332341092545,70,31,typical
3qak,8.3233060836792,6.81744384765625,-1.5058622360229492,1.5058622360229492,2.2676210738800364,69,32,typical
3r5j,6.958607196807861,5.470183849334717,-1.4884233474731445,1.4884233474731445,2.215404061303161,68,33,typical
3poa,7.0,5.534572124481201,-1.4654278755187988,1.4654278755187988,2.14747885834754,67,34,typical
3mam,4.1191864013671875,5.580424785614014,1.4612383842468262,1.4612383842468262,2.135217615596275,66,35,typical
3n7a,3.698970079421997,5.1142258644104,1.4152557849884033,1.4152557849884033,2.0029489369431417,65,36,typical
3aqa,4.552842140197754,5.944714546203613,1.3918724060058594,1.3918724060058594,1.9373087946005398,64,37,typical
2yak,8.698969841003418,7.338994979858398,-1.3599748611450195,1.3599748611450195,1.8495316229464152,63,38,typical
3qk0,8.698969841003418,7.395630836486816,-1.3033390045166016,1.3033390045166016,1.698692560694326,62,39,typical
3qck,5.236571788787842,6.494321823120117,1.2577500343322754,1.2577500343322754,1.58193514886284,61,40,typical
3qdd,8.769551277160645,7.525216102600098,-1.2443351745605469,1.2443351745605469,1.5483700266486267,60,41,typical
3odl,7.214670181274414,5.995604038238525,-1.2190661430358887,1.2190661430358887,1.4861222610963978,59,42,typical
3qqk,4.823908805847168,6.04167366027832,1.2177648544311523,1.2177648544311523,1.4829512406877257,58,43,typical
3rm9,4.7695512771606445,5.9660115242004395,1.196460247039795,1.196460247039795,1.431517122746527,57,44,typical
3asx,7.698969841003418,6.5298027992248535,-1.1691670417785645,1.1691670417785645,1.3669515715812395,56,45,typical
3q8h,4.15490198135376,5.309859275817871,1.1549572944641113,1.1549572944641113,1.33392635203586,55,46,typical
3lrh,7.346787452697754,6.240807056427002,-1.105980396270752,1.105980396270752,1.2231926369352095,54,47,typical
3alt,2.924453020095825,4.003187656402588,1.0787346363067627,1.0787346363067627,1.1636684155678836,53,48,typical
2yof,4.602059841156006,5.650905132293701,1.0488452911376953,1.0488452911376953,1.1000764447417168,52,49,typical
3q3b,7.764471530914307,6.727166175842285,-1.0373053550720215,1.0373053550720215,1.0760023996610926,51,50,typical
3m6p,8.346787452697754,7.309951305389404,-1.0368361473083496,1.0368361473083496,1.0750291963652217,50,51,typical
3arx,5.327902317047119,6.358117580413818,1.0302152633666992,1.0302152633666992,1.0613434888737174,49,52,typical
3ai8,3.8113527297973633,4.82947301864624,1.018120288848877,1.018120288848877,1.0365689225657206,48,53,typical
3o4l,5.091515064239502,6.102135181427002,1.0106201171875,1.0106201171875,1.0213530212640762,47,54,typical
2ydw,7.337242126464844,6.3301496505737305,-1.0070924758911133,1.0070924758911133,1.0142352549964926,46,55,typical
3lox,8.09691047668457,7.096541404724121,-1.0003690719604492,1.0003690719604492,1.0007382801350104,45,56,typical
2ya6,5.698969841003418,4.74382209777832,-0.9551477432250977,0.9551477432250977,0.9123072113879971,44,57,typical
3m3z,5.732828140258789,4.812042713165283,-0.9207854270935059,0.9207854270935059,0.84784580274777,43,58,typical
3r6t,5.8639140129089355,6.781979084014893,0.918065071105957,0.918065071105957,0.8428434747847859,42,59,typical
3ozp,6.619788646697998,5.751495361328125,-0.868293285369873,0.868293285369873,0.7539332294184078,41,60,typical
3rvg,8.301030158996582,7.446310520172119,-0.8547196388244629,0.8547196388244629,0.7305456609922203,40,61,typical
3pb7,5.740644931793213,6.573996067047119,0.8333511352539062,0.8333511352539062,0.6944741146289743,39,62,typical
3qfy,6.12493896484375,5.29635763168335,-0.8285813331604004,0.8285813331604004,0.6865470256618664,38,63,typical
3qj9,7.0,7.826766490936279,0.8267664909362793,0.8267664909362793,0.6835428305350888,37,64,typical
2y82,8.397939682006836,7.590975761413574,-0.8069639205932617,0.8069639205932617,0.651190769139248,36,65,typical
2n9x,6.397940158843994,5.619211196899414,-0.7787289619445801,0.7787289619445801,0.6064187961712832,35,66,typical
3py0,6.886056423187256,6.1103644371032715,-0.7756919860839844,0.7756919860839844,0.6016980572749162,34,67,typical
3owb,7.721246242523193,6.999707221984863,-0.7215390205383301,0.7215390205383301,0.5206185581594127,33,68,typical
3qts,5.508638381958008,6.206228256225586,0.6975898742675781,0.6975898742675781,0.48663163268065546,32,69,typical
2yc3,6.853871822357178,7.5481486320495605,0.6942768096923828,0.6942768096923828,0.48202028847663314,31,70,typical
3qxc,5.7695512771606445,5.086034774780273,-0.6835165023803711,0.6835165023803711,0.46719480902629584,30,71,typical
3as1,4.022276401519775,4.7034478187561035,0.6811714172363281,0.6811714172363281,0.4639944996597478,29,72,typical
3m6q,7.318758964538574,6.674631595611572,-0.644127368927002,0.644127368927002,0.4149000674008221,28,73,typical
2y80,8.045757293701172,7.41519832611084,-0.630558967590332,0.630558967590332,0.3976046116085854,27,74,typical
2ynd,7.494850158691406,6.8838396072387695,-0.6110105514526367,0.6110105514526367,0.3733338939864552,26,75,typical
3q6s,6.744727611541748,6.156687259674072,-0.5880403518676758,0.5880403518676758,0.34579145542465994,25,76,typical
2yi7,8.318758964538574,7.792300701141357,-0.5264582633972168,0.5264582633972168,0.2771583030992133,24,77,typical
3qi1,7.6575775146484375,7.135375499725342,-0.5222020149230957,0.5222020149230957,0.27269494438974107,23,78,typical
3pgu,6.698969841003418,6.185428619384766,-0.5135412216186523,0.5135412216186523,0.2637245863015778,22,79,typical
3o0j,7.187086582183838,7.699129581451416,0.5120429992675781,0.5120429992675781,0.262188033098937,21,80,typical
3pj8,7.397940158843994,6.9579572677612305,-0.43998289108276367,0.43998289108276367,0.19358494444554708,20,81,best_prediction
3q7p,5.802995204925537,5.388361930847168,-0.41463327407836914,0.41463327407836914,0.17192075197294798,19,82,best_prediction
3r9n,5.853871822357178,6.259776592254639,0.40590476989746094,0.40590476989746094,0.1647586822255107,18,83,best_prediction
3qlm,6.365522861480713,6.758264541625977,0.39274168014526367,0.39274168014526367,0.1542460273233246,17,84,best_prediction
2y9g,3.7695510387420654,4.159522533416748,0.3899714946746826,0.3899714946746826,0.152077766658806,16,85,best_prediction
2y57,6.886056423187256,7.1544718742370605,0.2684154510498047,0.2684154510498047,0.0720468543622701,15,86,best_prediction
2y7p,5.4685211181640625,5.263370037078857,-0.20515108108520508,0.20515108108520508,0.04208696607042839,14,87,best_prediction
3qa2,6.677780628204346,6.484025001525879,-0.1937556266784668,0.1937556266784668,0.037541242869565394,13,88,best_prediction
2lkk,6.698969841003418,6.859950542449951,0.1609807014465332,0.1609807014465332,0.025914786238217857,12,89,best_prediction
3r5n,5.777283668518066,5.931434154510498,0.15415048599243164,0.15415048599243164,0.023762372331702863,11,90,best_prediction
2ybs,4.585026741027832,4.693471908569336,0.1084451675415039,0.1084451675415039,0.011760354363104852,10,91,best_prediction
3n86,5.638272285461426,5.740621566772461,0.10234928131103516,0.10234928131103516,0.01047537538488541,9,92,best_prediction
3qbh,6.823908805847168,6.9200029373168945,0.09609413146972656,0.09609413146972656,0.009234082102921093,8,93,best_prediction
2mow,5.962573528289795,5.867478847503662,-0.09509468078613281,0.09509468078613281,0.009042998313816497,7,94,best_prediction
3p9t,6.200659275054932,6.29376745223999,0.0931081771850586,0.0931081771850586,0.008669132658724266,6,95,best_prediction
3q3t,7.431798458099365,7.3412041664123535,-0.09059429168701172,0.09059429168701172,0.00820732568627136,5,96,best_prediction
3apc,7.443697452545166,7.387691020965576,-0.056006431579589844,0.056006431579589844,0.0031367203782792785,4,97,best_prediction
2xx2,7.301030158996582,7.247016429901123,-0.054013729095458984,0.054013729095458984,0.0029174829307976324,3,98,best_prediction
3q4c,6.431798458099365,6.389576435089111,-0.042222023010253906,0.042222023010253906,0.0017826992270784103,2,99,best_prediction
3r16,7.301030158996582,7.266730785369873,-0.034299373626708984,0.034299373626708984,0.0011764470311845798,1,100,best_prediction
