bin,count,mean_prediction,mean_true,calibration_error
1,10,4.26264443397522,4.0381632328033445,0.22448120117187553
2,10,4.93491940498352,5.263740277290344,-0.32882087230682355
3,10,5.335063314437866,5.476669645309448,-0.14160633087158203
4,10,5.626413202285766,6.417923831939698,-0.7915106296539314
5,10,5.841790246963501,5.793161988258362,0.04862825870513898
6,10,6.191736936569214,6.351009583473205,-0.15927264690399134
7,10,6.580476379394531,6.41296796798706,0.16750841140747053
8,10,6.9612757682800295,6.713004112243652,0.24827165603637713
9,10,7.280280065536499,6.86098620891571,0.4192938566207891
10,10,7.753571557998657,7.260971641540527,0.49259991645813006
