bin,count,mean_prediction,mean_true,calibration_error
1,10,4.740798664093018,4.811473143100739,-0.07067447900772095
2,10,5.127265739440918,6.206165766716003,-1.0789000272750853
3,10,5.48998761177063,5.717321658134461,-0.22733404636383092
4,10,5.778849029541016,6.959981203079224,-1.1811321735382077
5,10,6.033400392532348,6.3153092622756954,-0.28190886974334717
6,10,6.286232042312622,6.462981367111206,-0.17674932479858452
7,10,6.447663450241089,6.236280250549316,0.211383199691773
8,10,6.774261999130249,7.127724456787109,-0.35346245765686035
9,10,7.057157945632935,6.858890867233276,0.19826707839965874
10,10,7.797963953018188,9.17307744026184,-1.3751134872436523
