pdb_id,true_affinity,predicted_affinity,residual,absolute_error,squared_error,rank_best,rank_worst,category
2xpk,11.301030158996582,6.341555595397949,-4.959474563598633,4.959474563598633,24.59638794698185,100,1,outlier
2ycf,10.522878646850586,6.265510559082031,-4.257368087768555,4.257368087768555,18.12518303475008,99,2,outlier
3ao4,2.0705809593200684,6.2983574867248535,4.227776527404785,4.227776527404785,17.874094365674864,98,3,outlier
3o9f,12.698969841003418,8.550287246704102,-4.148682594299316,4.148682594299316,17.211567268242106,97,4,outlier
3rlb,9.920818328857422,6.005904197692871,-3.914914131164551,3.914914131164551,15.32655265439189,96,5,outlier
2xy9,9.187087059020996,5.847921371459961,-3.339165687561035,3.339165687561035,11.15002748898496,95,6,largest_error
3oay,1.6989699602127075,4.943692207336426,3.2447222471237183,3.2447222471237183,10.528222460979592,94,7,largest_error
3ovn,2.552841901779175,5.7490057945251465,3.1961638927459717,3.1961638927459717,10.215463629293083,93,8,largest_error
3n75,7.892789840698242,4.72634220123291,-3.166447639465332,3.166447639465332,10.026390653475573,92,9,largest_error
3ao5,2.2291479110717773,5.389141082763672,3.1599931716918945,3.1599931716918945,9.9855568451394,91,10,largest_error
3qi3,3.7846269607543945,6.709371566772461,2.9247446060180664,2.9247446060180664,8.554131010431774,90,11,largest_error
3p7i,7.701147079467773,5.017495632171631,-2.6836514472961426,2.6836514472961426,7.201985090574681,89,12,largest_error
3mg8,8.920818328857422,6.303250312805176,-2.617568016052246,2.617568016052246,6.851662318659692,88,13,largest_error
3lkj,4.602059841156006,7.021997928619385,2.419938087463379,2.419938087463379,5.856100347155916,87,14,largest_error
3rwc,8.119186401367188,5.711431980133057,-2.407754421234131,2.407754421234131,5.7972813529725045,86,15,largest_error
3r02,9.0,6.6137471199035645,-2.3862528800964355,2.3862528800964355,5.694202807768534,85,16,largest_error
2lya,4.187086582183838,6.437646865844727,2.2505602836608887,2.2505602836608887,5.06502159039178,84,17,largest_error
3qkd,8.376750946044922,6.161705493927002,-2.21504545211792,2.21504545211792,4.90642635494828,83,18,largest_error
3qsb,5.0809221267700195,7.239034652709961,2.1581125259399414,2.1581125259399414,4.657449674618874,82,19,largest_error
3rsx,4.411168098449707,6.561908721923828,2.150740623474121,2.150740623474121,4.625685229461851,81,20,largest_error
3ro0,4.496345520019531,6.645058631896973,2.1487131118774414,2.1487131118774414,4.616968037154038,80,21,typical
3rti,7.3665313720703125,5.334052085876465,-2.0324792861938477,2.0324792861938477,4.1309720488070525,79,22,typical
3qfz,3.2441251277923584,5.083026885986328,1.8389017581939697,1.8389017581939697,3.381559676288873,78,23,typical
3r5m,4.340083599090576,6.172708511352539,1.832624912261963,1.832624912261963,3.358514069043167,77,24,typical
3rg2,4.200659275054932,6.006437301635742,1.8057780265808105,1.8057780265808105,3.2608342812820865,76,25,typical
3odi,7.823908805847168,6.020973205566406,-1.8029356002807617,1.8029356002807617,3.2505767787597506,75,26,typical
3r5j,6.958607196807861,5.276698589324951,-1.6819086074829102,1.6819086074829102,2.828816563925102,74,27,typical
3mam,4.1191864013671875,5.79289436340332,1.6737079620361328,1.6737079620361328,2.801298342183145,73,28,typical
2xno,5.9281182289123535,7.599518775939941,1.671400547027588,1.671400547027588,2.79357978860412,72,29,typical
3qd0,8.500312805175781,6.869602680206299,-1.6307101249694824,1.6307101249694824,2.659215511677985,71,30,typical
3n7a,3.698970079421997,5.254917144775391,1.5559470653533936,1.5559470653533936,2.4209712701818376,70,31,typical
3aqa,4.552842140197754,6.078038215637207,1.5251960754394531,1.5251960754394531,2.32622306853591,69,32,typical
2ygu,6.4921441078186035,8.016252517700195,1.5241084098815918,1.5241084098815918,2.3229064450717942,68,33,typical
3oil,5.677780628204346,7.199158191680908,1.5213775634765625,1.5213775634765625,2.314589690649882,67,34,typical
3b25,6.065501689910889,7.558284759521484,1.4927830696105957,1.4927830696105957,2.2284012929160326,66,35,typical
3qk0,8.698969841003418,7.207267761230469,-1.4917020797729492,1.4917020797729492,2.225175094798942,65,36,typical
3qak,8.3233060836792,6.888160228729248,-1.4351458549499512,1.4351458549499512,2.0596436249800263,64,37,typical
3poa,7.0,5.5794358253479,-1.4205641746520996,1.4205641746520996,2.018002574305001,63,38,typical
2yak,8.698969841003418,7.2881364822387695,-1.4108333587646484,1.4108333587646484,1.9904507662031392,62,39,typical
3rm9,4.7695512771606445,6.068647384643555,1.2990961074829102,1.2990961074829102,1.6876506964772489,61,40,typical
3as1,4.022276401519775,5.3038201332092285,1.2815437316894531,1.2815437316894531,1.642354336232529,60,41,typical
