pdb_id,true_affinity,predicted_affinity,residual,absolute_error,squared_error,rank_best,rank_worst,category
2xpk,11.301030158996582,5.530453205108643,-5.7705769538879395,5.7705769538879395,33.29955838074261,100,1,outlier
2xiy,2.443697452545166,6.1613664627075195,3.7176690101623535,3.7176690101623535,13.821062869121533,99,2,outlier
2ndo,3.2479515075683594,6.777172565460205,3.5292210578918457,3.5292210578918457,12.455401275467239,98,3,outlier
3qg6,9.136676788330078,5.8880438804626465,-3.2486329078674316,3.2486329078674316,10.553615770079205,97,4,outlier
3orn,9.619789123535156,6.443284034729004,-3.1765050888061523,3.1765050888061523,10.090184579211382,96,5,largest_error
3atu,8.301030158996582,5.3517022132873535,-2.9493279457092285,2.9493279457092285,8.698535331341418,95,6,largest_error
3oli,7.380906581878662,4.743988513946533,-2.636918067932129,2.636918067932129,6.953336896986912,94,7,largest_error
3qc4,8.698969841003418,6.06448221206665,-2.6344876289367676,2.6344876289367676,6.940525067020872,93,8,largest_error
3muz,3.4559319019317627,6.086490154266357,2.6305582523345947,2.6305582523345947,6.919836718925637,92,9,largest_error
2ydv,7.86012077331543,5.403570652008057,-2.456550121307373,2.456550121307373,6.034638498495269,91,10,largest_error
3rup,1.568636178970337,3.9467544555664062,2.3781182765960693,2.3781182765960693,5.655446537480259,90,11,largest_error
3p3s,7.585026741027832,5.273709297180176,-2.3113174438476562,2.3113174438476562,5.342188326234464,89,12,largest_error
3oev,8.130767822265625,5.9205427169799805,-2.2102251052856445,2.2102251052856445,4.8850950160349385,88,13,largest_error
3psb,8.522878646850586,6.316137790679932,-2.2067408561706543,2.2067408561706543,4.869705206292792,87,14,largest_error
3qi3,3.7846269607543945,5.951565265655518,2.166938304901123,2.166938304901123,4.6956216172477525,86,15,largest_error
3oj8,8.356547355651855,6.20090913772583,-2.1556382179260254,2.1556382179260254,4.6467761265832905,85,16,largest_error
3au6,7.92081880569458,5.773514270782471,-2.1473045349121094,2.1473045349121094,4.61091676565411,84,17,largest_error
2lsp,3.5622494220733643,5.708204746246338,2.1459553241729736,2.1459553241729736,4.605124253346332,83,18,largest_error
3qti,7.853871822357178,5.727823734283447,-2.1260480880737305,2.1260480880737305,4.520080472801965,82,19,largest_error
2ycm,3.5622494220733643,5.64249849319458,2.080249071121216,2.080249071121216,4.327436197900681,81,20,largest_error
3q2m,3.798602819442749,5.831360340118408,2.032757520675659,2.032757520675659,4.132103137863453,80,21,typical
3qxm,7.481485843658447,5.451803684234619,-2.029682159423828,2.029682159423828,4.119609668283374,79,22,typical
2yak,8.698969841003418,6.739410877227783,-1.9595589637756348,1.9595589637756348,3.8398713325134395,78,23,typical
3q3k,8.130767822265625,6.258020877838135,-1.8727469444274902,1.8727469444274902,3.507181117862501,77,24,typical
3pbb,7.022276401519775,5.167605876922607,-1.854670524597168,1.854670524597168,3.4398027548095342,76,25,typical
3rtm,4.415668964385986,6.2450127601623535,1.8293437957763672,1.8293437957763672,3.346498723145487,75,26,typical
3r5m,4.340083599090576,6.130942344665527,1.7908587455749512,1.7908587455749512,3.2071750466022877,74,27,typical
3rmf,4.086185932159424,5.846624851226807,1.7604389190673828,1.7604389190673828,3.099145187767135,73,28,typical
3arw,6.15490198135376,4.408459186553955,-1.7464427947998047,1.7464427947998047,3.0500624355081527,72,29,typical
2yc0,2.823908805847168,4.449368476867676,1.6254596710205078,1.6254596710205078,2.6421191421140975,71,30,typical
3rul,6.853871822357178,5.237542629241943,-1.6163291931152344,1.6163291931152344,2.6125200605165446,70,31,typical
3qai,8.09691047668457,6.491062164306641,-1.6058483123779297,1.6058483123779297,2.578748802367045,69,32,typical
3qx8,2.863279342651367,4.382373332977295,1.5190939903259277,1.5190939903259277,2.30764655144435,68,33,typical
3avz,7.187086582183838,5.668049335479736,-1.5190372467041016,1.5190372467041016,2.3074741568743775,67,34,typical
3qk5,7.744727611541748,6.244072437286377,-1.500655174255371,1.500655174255371,2.251965952019418,66,35,typical
3pj3,5.251811981201172,6.6851396560668945,1.4333276748657227,1.4333276748657227,2.0544282235359788,65,36,typical
3qt7,7.3098039627075195,5.880072593688965,-1.4297313690185547,1.4297313690185547,2.0441317875556706,64,37,typical
3r0i,6.92081880569458,5.50411319732666,-1.41670560836792,1.41670560836792,2.007054780781118,63,38,typical
2yi5,7.408935546875,6.024862766265869,-1.3840727806091309,1.3840727806091309,1.9156574620230913,62,39,typical
3r22,7.7695512771606445,6.396237373352051,-1.3733139038085938,1.3733139038085938,1.8859910783939995,61,40,typical
2y6c,5.0,6.366494655609131,1.3664946556091309,1.3664946556091309,1.8673076438083172,60,41,typical
3pgu,6.698969841003418,5.354027271270752,-1.344942569732666,1.344942569732666,1.8088705158791072,59,42,typical
3n2p,7.823908805847168,6.492269515991211,-1.331639289855957,1.331639289855957,1.7732631982880775,58,43,typical
3p3r,7.251424312591553,5.958710193634033,-1.2927141189575195,1.2927141189575195,1.671109793352116,57,44,typical
2lzg,7.77211332321167,6.502708435058594,-1.2694048881530762,1.2694048881530762,1.6113887700669238,56,45,typical
2m0u,6.43770694732666,5.174054145812988,-1.2636528015136719,1.2636528015136719,1.5968184027733514,55,46,typical
3p7a,6.28399658203125,7.544609069824219,1.2606124877929688,1.2606124877929688,1.5891438443795778,54,47,typical
2yix,8.481486320495605,7.252835750579834,-1.2286505699157715,1.2286505699157715,1.50958222295435,53,48,typical
2loz,4.062983989715576,5.264986038208008,1.2020020484924316,1.2020020484924316,1.444808924580002,52,49,typical
2y1g,6.15490198135376,5.005956172943115,-1.1489458084106445,1.1489458084106445,1.3200764706643895,51,50,typical
2xm1,5.070580959320068,3.928985834121704,-1.1415951251983643,1.1415951251983643,1.303239429876669,50,51,typical
3at3,8.036211967468262,6.968677043914795,-1.0675349235534668,1.0675349235534668,1.1396308130063062,49,52,typical
2xhs,6.004364967346191,4.964518070220947,-1.0398468971252441,1.0398468971252441,1.081281569460998,48,53,typical
3rbq,6.267606258392334,5.262726306915283,-1.0048799514770508,1.0048799514770508,1.00978371688052,47,54,typical
3rlp,7.07572078704834,6.09899377822876,-0.9767270088195801,0.9767270088195801,0.9539956497576441,46,55,typical
3arf,7.193819999694824,6.233899116516113,-0.9599208831787109,0.9599208831787109,0.9214481019625964,45,56,typical
2ndg,4.712198257446289,5.606394290924072,0.8941960334777832,0.8941960334777832,0.7995865462874008,44,57,typical
3q6s,6.744727611541748,5.860417366027832,-0.884310245513916,0.884310245513916,0.7820046103208824,43,58,typical
3myq,7.522878646850586,6.656067848205566,-0.8668107986450195,0.8668107986450195,0.7513609606476166,42,59,typical
2xx2,7.301030158996582,6.442346096038818,-0.8586840629577637,0.8586840629577637,0.7373383199776526,41,60,typical
2ya7,3.142667531967163,4.001033306121826,0.8583657741546631,0.8583657741546631,0.7367918022401341,40,61,typical
3ppq,4.552842140197754,5.363714694976807,0.8108725547790527,0.8108725547790527,0.6575143000939079,39,62,typical
2yaz,5.136677265167236,4.352462291717529,-0.784214973449707,0.784214973449707,0.6149931245827247,38,63,typical
2xj2,7.180456161499023,6.412060260772705,-0.7683959007263184,0.7683959007263184,0.5904322602530101,37,64,typical
2lsv,5.266802787780762,4.503627777099609,-0.7631750106811523,0.7631750106811523,0.582436096928177,36,65,typical
3ozj,5.113509178161621,5.75967264175415,0.6461634635925293,0.6461634635925293,0.41752722168189393,35,66,typical
2x6y,4.585026741027832,3.952363967895508,-0.6326627731323242,0.6326627731323242,0.40026218450748274,34,67,typical
2ylp,4.301030158996582,4.930587291717529,0.6295571327209473,0.6295571327209473,0.3963421833598204,33,68,typical
3rv6,4.677780628204346,5.300548076629639,0.622767448425293,0.622767448425293,0.38783929481814994,32,69,typical
3rqg,4.638272285461426,5.214992523193359,0.5767202377319336,0.5767202377319336,0.332606232609578,31,70,typical
2y8l,5.823908805847168,5.25950813293457,-0.5644006729125977,0.5644006729125977,0.31854811958419305,30,71,typical
2n27,6.552842140197754,7.082301616668701,0.5294594764709473,0.5294594764709473,0.28032733722488956,29,72,typical
2y07,6.221848964691162,5.694900035858154,-0.5269489288330078,0.5269489288330078,0.27767517359825433,28,73,typical
3mbz,5.79587984085083,5.31511926651001,-0.4807605743408203,0.4807605743408203,0.23113072984051541,27,74,typical
2y7i,5.537601947784424,5.97873067855835,0.4411287307739258,0.4411287307739258,0.1945945571142147,26,75,typical
2xno,5.9281182289123535,6.341858863830566,0.4137406349182129,0.4137406349182129,0.17118131298252592,25,76,typical
2yj9,7.022276401519775,6.619283199310303,-0.40299320220947266,0.40299320220947266,0.16240352102704492,24,77,typical
2l8j,5.522878646850586,5.131585597991943,-0.3912930488586426,0.3912930488586426,0.15311025008509205,23,78,typical
3arr,5.397940158843994,5.012139797210693,-0.3858003616333008,0.3858003616333008,0.14884191903638566,22,79,typical
2ybk,4.619788646697998,4.241434574127197,-0.3783540725708008,0.3783540725708008,0.14315180423091078,21,80,typical
3qci,5.4202165603637695,5.7633957862854,0.34317922592163086,0.34317922592163086,0.11777198110416975,20,81,best_prediction
2ykj,6.214670181274414,6.517117977142334,0.3024477958679199,0.3024477958679199,0.09147466922536296,19,82,best_prediction
3atl,4.764471530914307,4.4725518226623535,-0.2919197082519531,0.2919197082519531,0.08521711606590543,18,83,best_prediction
3o4l,5.091515064239502,5.381894111633301,0.29037904739379883,0.29037904739379883,0.08431999116533007,17,84,best_prediction
2lnw,5.853871822357178,5.599887371063232,-0.2539844512939453,0.2539844512939453,0.06450810149908648,16,85,best_prediction
3r4m,5.92081880569458,6.167880535125732,0.24706172943115234,0.24706172943115234,0.06103949814951193,15,86,best_prediction
3p78,6.958607196807861,7.2030415534973145,0.24443435668945312,0.24443435668945312,0.0597481547301868,14,87,best_prediction
3pn4,6.853871822357178,7.091431617736816,0.23755979537963867,0.23755979537963867,0.056434656380815795,13,88,best_prediction
2xzc,5.638272285461426,5.853509426116943,0.21523714065551758,0.21523714065551758,0.04632702671756306,12,89,best_prediction
3pju,4.882728576660156,4.6766157150268555,-0.20611286163330078,0.20611286163330078,0.04248251173066819,11,90,best_prediction
3pvw,7.267606258392334,7.072271823883057,-0.19533443450927734,0.19533443450927734,0.03815554130505916,10,91,best_prediction
3qt6,5.3665313720703125,5.553445339202881,0.18691396713256836,0.18691396713256836,0.034936831109234845,9,92,best_prediction
3q2a,5.301030158996582,5.117234230041504,-0.18379592895507812,0.18379592895507812,0.033780943500460126,8,93,best_prediction
3aya,4.327902317047119,4.494731903076172,0.16682958602905273,0.16682958602905273,0.027832110774625107,7,94,best_prediction
3r93,6.508638381958008,6.653233051300049,0.14459466934204102,0.14459466934204102,0.020907618402134176,6,95,best_prediction
3r6c,4.721246242523193,4.865692615509033,0.14444637298583984,0.14444637298583984,0.020864754668764363,5,96,best_prediction
3m94,5.07572078704834,4.977258205413818,-0.09846258163452148,0.09846258163452148,0.009694879982134808,4,97,best_prediction
2xln,4.481485843658447,4.562459945678711,0.08097410202026367,0.08097410202026367,0.006556805197988069,3,98,best_prediction
3ayd,4.187086582183838,4.249379634857178,0.062293052673339844,0.062293052673339844,0.0038804244113634923,2,99,best_prediction
3qch,5.481485843658447,5.493481159210205,0.011995315551757812,0.011995315551757812,0.00014388759518624283,1,100,best_prediction
