bin,count,mean_prediction,mean_true,calibration_error
1,10,4.191261506080627,4.015255403518677,0.17600610256195015
2,10,4.719203186035156,5.120665979385376,-0.4014627933502197
3,10,5.158334541320801,5.942039346694946,-0.7837048053741453
4,10,5.346107530593872,6.2107635021209715,-0.8646559715270996
5,10,5.60014271736145,6.0169370651245115,-0.41679434776306135
6,10,5.818443489074707,6.3022685766220095,-0.48382508754730225
7,10,6.037668657302857,5.812776017189026,0.22489264011383092
8,10,6.277052354812622,6.8982898712158205,-0.6212375164031982
9,10,6.5229432582855225,7.506267166137695,-0.9833239078521725
10,10,7.041689157485962,6.763335561752319,0.27835359573364293
