bin,count,mean_prediction,mean_true,calibration_error
1,10,4.897095632553101,5.316558289527893,-0.4194626569747921
2,10,5.2437207221984865,6.022761940956116,-0.7790412187576292
3,10,5.5912278175354,5.212783777713776,0.3784440398216242
4,10,5.918646383285522,5.938451170921326,-0.0198047876358034
5,10,6.094679594039917,6.885094690322876,-0.7904150962829588
6,10,6.226174592971802,6.815127515792847,-0.5889529228210453
7,10,6.460354995727539,6.78544397354126,-0.3250889778137207
8,10,6.712630653381348,6.5610260486602785,0.1516046047210695
9,10,7.05588550567627,7.540449428558349,-0.4845639228820797
10,10,7.864731788635254,8.79150857925415,-0.9267767906188968
