pdb_id,true_affinity,predicted_affinity,residual,absolute_error,squared_error,rank_best,rank_worst,category
3rup,1.568636178970337,6.140648365020752,4.572012186050415,4.572012186050415,20.903295429393495,100,1,outlier
3ps1,10.173925399780273,6.358837604522705,-3.8150877952575684,3.8150877952575684,14.554894885523254,99,2,outlier
2ly0,4.79587984085083,8.513473510742188,3.7175936698913574,3.7175936698913574,13.820502694416291,98,3,outlier
2xy9,9.187087059020996,5.660783767700195,-3.526303291320801,3.526303291320801,12.434814902379912,97,4,outlier
3p3g,9.74472713470459,6.438645839691162,-3.3060812950134277,3.3060812950134277,10.930173529237663,96,5,largest_error
3b24,4.376750946044922,7.6338701248168945,3.2571191787719727,3.2571191787719727,10.60882534472421,95,6,largest_error
2nd0,3.1972262859344482,6.354522705078125,3.1572964191436768,3.1572964191436768,9.968520678337484,94,7,largest_error
3ay0,3.0409586429595947,6.133001804351807,3.092043161392212,3.092043161392212,9.560730911912344,93,8,largest_error
2xpc,3.903090000152588,6.674731254577637,2.771641254425049,2.771641254425049,7.681995243230858,92,9,largest_error
2xiz,3.886056661605835,6.535359859466553,2.6493031978607178,2.6493031978607178,7.0188074341950255,91,10,largest_error
3avf,3.5301780700683594,6.142154216766357,2.611976146697998,2.611976146697998,6.822419390919322,90,11,largest_error
3ozg,9.187087059020996,6.5915656089782715,-2.5955214500427246,2.5955214500427246,6.736731597631888,89,12,largest_error
2yga,4.610834121704102,7.200090408325195,2.5892562866210938,2.5892562866210938,6.704248117806856,88,13,largest_error
3orn,9.619789123535156,7.0903544425964355,-2.5294346809387207,2.5294346809387207,6.398039805135568,87,14,largest_error
3rwc,8.119186401367188,5.6495442390441895,-2.469642162322998,2.469642162322998,6.099132409923413,86,15,largest_error
3r5t,8.576754570007324,6.141404628753662,-2.435349941253662,2.435349941253662,5.9309293363642155,85,16,largest_error
2yim,3.92081880569458,6.296170711517334,2.375351905822754,2.375351905822754,5.642296676495789,84,17,largest_error
3rwd,8.004364967346191,5.687510013580322,-2.316854953765869,2.316854953765869,5.367816876789448,83,18,largest_error
3njq,4.886056423187256,7.183939456939697,2.2978830337524414,2.2978830337524414,5.280266436807324,82,19,largest_error
3ri1,5.301030158996582,7.57420539855957,2.2731752395629883,2.2731752395629883,5.167325669762249,81,20,largest_error
3p76,8.677781105041504,6.415537357330322,-2.2622437477111816,2.2622437477111816,5.1177467740583324,80,21,typical
2yki,9.455931663513184,7.204812526702881,-2.2511191368103027,2.2511191368103027,5.0675373681135625,79,22,typical
3r6g,7.602059841156006,5.487616539001465,-2.114443302154541,2.114443302154541,4.4708704780262,78,23,typical
3p23,4.4202165603637695,6.489309787750244,2.0690932273864746,2.0690932273864746,4.2811467836165775,77,24,typical
3r9d,4.148741722106934,6.212234020233154,2.0634922981262207,2.0634922981262207,4.258000464426232,76,25,typical
3oaf,8.795880317687988,6.792508602142334,-2.0033717155456543,2.0033717155456543,4.013498230648338,75,26,typical
2xo8,4.3260579109191895,6.243591785430908,1.9175338745117188,1.9175338745117188,3.676936159899924,74,27,typical
3ms4,3.2804200649261475,5.1404337882995605,1.860013723373413,1.860013723373413,3.4596510511374277,73,28,typical
2yoj,8.301030158996582,6.457753658294678,-1.8432765007019043,1.8432765007019043,3.3976682580398574,72,29,typical
3as0,4.552842140197754,6.361693859100342,1.808851718902588,1.808851718902588,3.271944540976847,71,30,typical
2l65,4.221848964691162,5.974526882171631,1.7526779174804688,1.7526779174804688,3.071879882423673,70,31,typical
2yis,8.769551277160645,7.103120803833008,-1.6664304733276367,1.6664304733276367,2.7769905224349714,69,32,typical
3oev,8.130767822265625,6.465150833129883,-1.6656169891357422,1.6656169891357422,2.774279954497615,68,33,typical
3aza,5.130768299102783,6.758816242218018,1.6280479431152344,1.6280479431152344,2.6505401050817454,67,34,typical
2ndf,4.225482940673828,5.824856281280518,1.5993733406066895,1.5993733406066895,2.5579950826434015,66,35,typical
2x85,3.8894102573394775,5.4052348136901855,1.515824556350708,1.515824556350708,2.2977240856358208,65,36,typical
2xp8,4.823908805847168,6.277184009552002,1.453275203704834,1.453275203704834,2.1120088177033267,64,37,typical
3rqf,4.408935546875,5.852563858032227,1.4436283111572266,1.4436283111572266,2.084062700774666,63,38,typical
3p9h,5.06048059463501,6.4419941902160645,1.3815135955810547,1.3815135955810547,1.908579814775294,62,39,typical
3ppq,4.552842140197754,5.932400226593018,1.3795580863952637,1.3795580863952637,1.9031805137385618,61,40,typical
2y2p,4.698969841003418,6.0681471824646,1.3691773414611816,1.3691773414611816,1.8746465923707092,60,41,typical
3oys,8.045757293701172,6.746157169342041,-1.2996001243591309,1.2996001243591309,1.6889604832342684,59,42,typical
3qdd,8.769551277160645,7.480527400970459,-1.2890238761901855,1.2890238761901855,1.6615825533883708,58,43,typical
3rjc,5.2441253662109375,6.5325703620910645,1.288444995880127,1.288444995880127,1.6600905074085404,57,44,typical
3oku,6.3565473556518555,7.555899620056152,1.1993522644042969,1.1993522644042969,1.4384458541317144,56,45,typical
3qtq,5.508638381958008,6.696938991546631,1.188300609588623,1.188300609588623,1.4120583387486931,55,46,typical
3rl7,4.739928722381592,5.911470890045166,1.1715421676635742,1.1715421676635742,1.3725110506138662,54,47,typical
2yke,5.958607196807861,7.127933979034424,1.1693267822265625,1.1693267822265625,1.3673251236323267,53,48,typical
3rni,5.173925399780273,6.294582366943359,1.120656967163086,1.120656967163086,1.2558720380511659,52,49,typical
2lbv,7.585026741027832,6.471978664398193,-1.1130480766296387,1.1130480766296387,1.238876020888938,51,50,typical
2yix,8.481486320495605,7.389045238494873,-1.0924410820007324,1.0924410820007324,1.193427517642931,50,51,typical
3mw1,9.086186408996582,8.01175594329834,-1.0744304656982422,1.0744304656982422,1.1544008256205416,49,52,typical
2xm8,6.79587984085083,7.869157314300537,1.073277473449707,1.073277473449707,1.1519245350145866,48,53,typical
3nzx,5.1674909591674805,6.239378929138184,1.0718879699707031,1.0718879699707031,1.148943820167915,47,54,typical
3pdq,6.744727611541748,5.676897048950195,-1.0678305625915527,1.0678305625915527,1.140262110404592,46,55,typical
3hau,6.376750946044922,7.429437637329102,1.0526866912841797,1.0526866912841797,1.1081492700068338,45,56,typical
2ltv,5.161150932312012,6.20025110244751,1.039100170135498,1.039100170135498,1.079729163575621,44,57,typical
2y4s,6.15490198135376,5.12649393081665,-1.0284080505371094,1.0284080505371094,1.0576231184095377,43,58,typical
2mwy,6.823908805847168,5.830333232879639,-0.9935755729675293,0.9935755729675293,0.9871924191977541,42,59,typical
3qvu,3.548213481903076,4.54084587097168,0.9926323890686035,0.9926323890686035,0.9853190598280435,41,60,typical
3okv,6.229147911071777,7.195842266082764,0.9666943550109863,0.9666943550109863,0.9344979760101069,40,61,typical
2yak,8.698969841003418,7.780029773712158,-0.9189400672912598,0.9189400672912598,0.844450847273265,39,62,typical
3qs8,4.744727611541748,5.652822971343994,0.9080953598022461,0.9080953598022461,0.8246371824943708,38,63,typical
3rah,7.92081880569458,7.074850559234619,-0.8459682464599609,0.8459682464599609,0.7156622740185412,37,64,typical
3qxh,5.236571788787842,6.0556111335754395,0.8190393447875977,0.8190393447875977,0.6708254483100973,36,65,typical
3qtu,7.15490198135376,6.351663112640381,-0.8032388687133789,0.8032388687133789,0.6451926802119488,35,66,typical
3qxt,5.221848964691162,6.019829273223877,0.7979803085327148,0.7979803085327148,0.6367725728059668,34,67,typical
2yc3,6.853871822357178,7.623022079467773,0.7691502571105957,0.7691502571105957,0.5915921180132955,33,68,typical
2y2i,4.585026741027832,5.325194835662842,0.7401680946350098,0.7401680946350098,0.5478488083156208,32,69,typical
3rk5,5.397940158843994,6.136064529418945,0.7381243705749512,0.7381243705749512,0.5448275864366678,31,70,typical
2xn5,6.688246250152588,6.046454906463623,-0.6417913436889648,0.6417913436889648,0.411896128834087,30,71,typical
3o1e,5.744727611541748,6.367858409881592,0.6231307983398438,0.6231307983398438,0.388291991839651,29,72,typical
3ppo,5.301030158996582,5.90180778503418,0.6007776260375977,0.6007776260375977,0.36093375594737154,28,73,typical
3ogp,7.443697452545166,8.029303550720215,0.5856060981750488,0.5856060981750488,0.3429345022198049,27,74,typical
3qcf,5.602059841156006,6.1750054359436035,0.5729455947875977,0.5729455947875977,0.32826665458651405,26,75,typical
3qkk,6.522878646850586,7.0916218757629395,0.5687432289123535,0.5687432289123535,0.32346886043364975,25,76,typical
2xqq,4.8181562423706055,5.370982646942139,0.5528264045715332,0.5528264045715332,0.3056170335914885,24,77,typical
3prs,7.823908805847168,7.280012607574463,-0.5438961982727051,0.5438961982727051,0.2958230744955017,23,78,typical
3old,5.90139102935791,5.402965068817139,-0.4984259605407715,0.4984259605407715,0.2484284381409907,22,79,typical
3rm8,6.15490198135376,6.6176533699035645,0.4627513885498047,0.4627513885498047,0.2141388476047723,21,80,typical
3pix,7.0,7.454938888549805,0.4549388885498047,0.4549388885498047,0.2069693923149316,20,81,best_prediction
3arp,7.15490198135376,6.700705051422119,-0.4541969299316406,0.4541969299316406,0.20629485115932766,19,82,best_prediction
3qxc,5.7695512771606445,6.202974319458008,0.4334230422973633,0.4334230422973633,0.18785553359430196,18,83,best_prediction
3m3z,5.732828140258789,6.150479793548584,0.4176516532897949,0.4176516532897949,0.17443290349569907,17,84,best_prediction
3py1,6.886056423187256,6.489515781402588,-0.39654064178466797,0.39654064178466797,0.15724448058699636,16,85,best_prediction
2y8l,5.823908805847168,6.197219371795654,0.37331056594848633,0.37331056594848633,0.13936077864877916,15,86,best_prediction
3r2a,6.12493896484375,5.802679061889648,-0.32225990295410156,0.32225990295410156,0.10385144505198696,14,87,best_prediction
2ynn,5.1674909591674805,5.4780097007751465,0.310518741607666,0.310518741607666,0.09642188888960845,13,88,best_prediction
3mtb,4.634511947631836,4.860649585723877,0.22613763809204102,0.22613763809204102,0.05113823136184692,12,89,best_prediction
3osw,6.15490198135376,6.374348163604736,0.21944618225097656,0.21944618225097656,0.04815662690452882,11,90,best_prediction
3arb,6.630784034729004,6.829719066619873,0.19893503189086914,0.19893503189086914,0.03957514691342112,10,91,best_prediction
3rlr,7.522878646850586,7.698002815246582,0.1751241683959961,0.1751241683959961,0.030668474356389197,9,92,best_prediction
3arf,7.193819999694824,7.072189807891846,-0.12163019180297852,0.12163019180297852,0.014793903558029342,8,93,best_prediction
3pkd,6.1191864013671875,6.204257011413574,0.08507061004638672,0.08507061004638672,0.007237008693664393,7,94,best_prediction
3r7q,6.966576099395752,6.914435386657715,-0.05214071273803711,0.05214071273803711,0.0027186539248305053,6,95,best_prediction
3pz1,6.140261650085449,6.186807155609131,0.04654550552368164,0.04654550552368164,0.002166484084455078,5,96,best_prediction
3ama,6.527243614196777,6.558913707733154,0.03167009353637695,0.03167009353637695,0.0010029948246028653,4,97,best_prediction
2y5k,6.6575775146484375,6.628574371337891,-0.029003143310546875,0.029003143310546875,0.0008411823218921199,3,98,best_prediction
3qcq,6.801342964172363,6.777167797088623,-0.024175167083740234,0.024175167083740234,0.0005844387035267573,2,99,best_prediction
3oob,4.665546417236328,4.678549289703369,0.013002872467041016,0.013002872467041016,0.0001690746923941333,1,100,best_prediction
