pdb_id,true_affinity,predicted_affinity,residual,absolute_error,squared_error,rank_best,rank_worst,category
2xpk,11.301030158996582,5.976122856140137,-5.324907302856445,5.324907302856445,28.354637784013903,100,1,outlier
3qg6,9.136676788330078,4.51102876663208,-4.625648021697998,4.625648021697998,21.396619620638603,99,2,outlier
3orn,9.619789123535156,5.970036506652832,-3.649752616882324,3.649752616882324,13.320694164439374,98,3,outlier
3qc4,8.698969841003418,5.6272406578063965,-3.0717291831970215,3.0717291831970215,9.43552017490424,97,4,largest_error
3atu,8.301030158996582,5.373577117919922,-2.92745304107666,2.92745304107666,8.569981307708986,96,5,largest_error
2yak,8.698969841003418,5.926669120788574,-2.7723007202148438,2.7723007202148438,7.685651283303741,95,6,largest_error
2xiy,2.443697452545166,5.120365619659424,2.676668167114258,2.676668167114258,7.1645524768428,94,7,largest_error
3psb,8.522878646850586,6.003849983215332,-2.519028663635254,2.519028663635254,6.345505408216013,93,8,largest_error
3rul,6.853871822357178,4.408374786376953,-2.4454970359802246,2.4454970359802246,5.980455752988064,92,9,largest_error
3muz,3.4559319019317627,5.896730899810791,2.4407989978790283,2.4407989978790283,5.957499748047269,91,10,largest_error
2ydv,7.86012077331543,5.501121520996094,-2.358999252319336,2.358999252319336,5.564877472443186,90,11,largest_error
3p3s,7.585026741027832,5.2336225509643555,-2.3514041900634766,2.3514041900634766,5.529101665048074,89,12,largest_error
3rtm,4.415668964385986,6.677123546600342,2.2614545822143555,2.2614545822143555,5.114176827418305,88,13,largest_error
3q3k,8.130767822265625,5.919029235839844,-2.2117385864257812,2.2117385864257812,4.891787574684713,87,14,largest_error
3n2p,7.823908805847168,5.638587951660156,-2.1853208541870117,2.1853208541870117,4.7756272357446505,86,15,largest_error
2lsp,3.5622494220733643,5.73558235168457,2.173332929611206,2.173332929611206,4.7233760229324275,85,16,largest_error
3qai,8.09691047668457,5.937400817871094,-2.1595096588134766,2.1595096588134766,4.663481966508698,84,17,largest_error
3avz,7.187086582183838,5.11967134475708,-2.067415237426758,2.067415237426758,4.274205763944337,83,18,largest_error
3au6,7.92081880569458,5.889890670776367,-2.030928134918213,2.030928134918213,4.124669089202371,82,19,largest_error
2yc0,2.823908805847168,4.852577209472656,2.0286684036254883,2.0286684036254883,4.115495491868387,81,20,largest_error
3oj8,8.356547355651855,6.352275371551514,-2.004271984100342,2.004271984100342,4.017106186249521,80,21,typical
3p3r,7.251424312591553,5.258749008178711,-1.9926753044128418,1.9926753044128418,3.9707548688168117,79,22,typical
3oli,7.380906581878662,5.43983268737793,-1.9410738945007324,1.9410738945007324,3.7677678639122405,78,23,typical
3oev,8.130767822265625,6.189779281616211,-1.940988540649414,1.940988540649414,3.767436514932342,77,24,typical
3qti,7.853871822357178,5.921624660491943,-1.9322471618652344,1.9322471618652344,3.7335790945362533,76,25,typical
2yix,8.481486320495605,6.5832977294921875,-1.898188591003418,1.898188591003418,3.603119927015541,75,26,typical
3pbb,7.022276401519775,5.135927200317383,-1.8863492012023926,1.8863492012023926,3.5583133088769046,74,27,typical
3qt7,7.3098039627075195,5.4359002113342285,-1.873903751373291,1.873903751373291,3.511515269410893,73,28,typical
3r5m,4.340083599090576,6.090648651123047,1.7505650520324707,1.7505650520324707,3.064478001397447,72,29,typical
2ndo,3.2479515075683594,4.986713409423828,1.7387619018554688,1.7387619018554688,3.0232929513440467,71,30,typical
3qxm,7.481485843658447,5.786970138549805,-1.6945157051086426,1.6945157051086426,2.87138347485984,70,31,typical
3rup,1.568636178970337,3.2577595710754395,1.6891233921051025,1.6891233921051025,2.853137833756648,69,32,typical
3qi3,3.7846269607543945,5.444122791290283,1.6594958305358887,1.6594958305358887,2.753926411565999,68,33,typical
3arw,6.15490198135376,4.537657737731934,-1.6172442436218262,1.6172442436218262,2.6154789435279326,67,34,typical
3rmf,4.086185932159424,5.68958044052124,1.6033945083618164,1.6033945083618164,2.570873949444831,66,35,typical
2y07,6.221848964691162,4.6381754875183105,-1.5836734771728516,1.5836734771728516,2.5080216823007504,65,36,typical
3pgu,6.698969841003418,5.196863651275635,-1.5021061897277832,1.5021061897277832,2.256323005218519,64,37,typical
2m0u,6.43770694732666,4.94863224029541,-1.48907470703125,1.48907470703125,2.217343483120203,63,38,typical
3ozj,5.113509178161621,6.495059967041016,1.3815507888793945,1.3815507888793945,1.9086825822532774,62,39,typical
3r22,7.7695512771606445,6.3911895751953125,-1.378361701965332,1.378361701965332,1.8998809814447668,61,40,typical
2ya7,3.142667531967163,4.512099742889404,1.3694322109222412,1.3694322109222412,1.8753445803113777,60,41,typical
