bin,count,mean_prediction,mean_true,calibration_error
1,10,3.9615757942199705,4.138563108444214,-0.17698731422424352
2,10,4.476065254211425,5.4905342817306515,-1.014469027519226
3,10,4.757205867767334,4.997877717018127,-0.2406718492507931
4,10,5.026027727127075,5.006717538833618,0.01931018829345721
5,10,5.2515974044799805,6.257479810714722,-1.0058824062347416
6,10,5.5215143203735355,6.405724334716797,-0.8842100143432612
7,10,5.8676165580749515,6.886655235290528,-1.0190386772155762
8,10,6.054834985733033,7.398749589920044,-1.3439146041870114
9,10,6.338634204864502,7.200567197799683,-0.8619329929351807
10,10,6.829124689102173,6.805729675292969,0.02339501380920428
