bin,count,mean_prediction,mean_true,calibration_error
1,10,4.681459522247314,4.335036218166351,0.3464233040809628
2,10,5.3608105182647705,5.969135069847107,-0.6083245515823368
3,10,5.744308519363403,5.669051885604858,0.07525663375854474
4,10,6.165551662445068,6.142011022567749,0.02354063987731969
5,10,6.4946417808532715,6.487259149551392,0.007382631301879883
6,10,6.782364368438721,6.4803588628768924,0.30200550556182826
7,10,7.0151914119720455,6.9105524063110355,0.10463900566101003
8,10,7.23012638092041,7.029679632186889,0.20044674873352086
9,10,7.439154005050659,7.180191850662231,0.25896215438842773
10,10,7.8152174949646,7.96545000076294,-0.15023250579834002
