pdb_id,true_affinity,predicted_affinity,residual,absolute_error,squared_error,rank_best,rank_worst,category
2xiy,2.443697452545166,6.88239860534668,4.438701152801514,4.438701152801514,19.702067923881486,100,1,outlier
2xpk,11.301030158996582,6.95543909072876,-4.345591068267822,4.345591068267822,18.884161732609073,99,2,outlier
2ndo,3.2479515075683594,6.867051124572754,3.6190996170043945,3.6190996170043945,13.097882037801355,98,3,outlier
3qi3,3.7846269607543945,7.124046802520752,3.3394198417663574,3.3394198417663574,11.151724879582844,97,4,outlier
2lsp,3.5622494220733643,6.78569221496582,3.223442792892456,3.223442792892456,10.390583439050317,96,5,largest_error
3rul,6.853871822357178,3.6314773559570312,-3.2223944664001465,3.2223944664001465,10.383826097086285,95,6,largest_error
3qc4,8.698969841003418,5.4810285568237305,-3.2179412841796875,3.2179412841796875,10.355146108428016,94,7,largest_error
3rup,1.568636178970337,4.724425315856934,3.1557891368865967,3.1557891368865967,9.95900507649145,93,8,largest_error
3qg6,9.136676788330078,6.261601448059082,-2.875075340270996,2.875075340270996,8.266058212234384,92,9,largest_error
3r5m,4.340083599090576,7.2123870849609375,2.8723034858703613,2.8723034858703613,8.250127314943029,91,10,largest_error
2ycm,3.5622494220733643,6.335762977600098,2.7735135555267334,2.7735135555267334,7.6923774426905425,90,11,largest_error
3rtm,4.415668964385986,7.187639236450195,2.771970272064209,2.771970272064209,7.683819189207725,89,12,largest_error
3p3r,7.251424312591553,4.770596504211426,-2.480827808380127,2.480827808380127,6.154506614832144,88,13,largest_error
3atu,8.301030158996582,5.831388473510742,-2.46964168548584,2.46964168548584,6.09913005468934,87,14,largest_error
3muz,3.4559319019317627,5.910626411437988,2.4546945095062256,2.4546945095062256,6.025525135000009,86,15,largest_error
3pj3,5.251811981201172,7.671989917755127,2.420177936553955,2.420177936553955,5.85726124458256,85,16,largest_error
3qx8,2.863279342651367,5.101105690002441,2.237826347351074,2.237826347351074,5.007866760898651,84,17,largest_error
3ozj,5.113509178161621,7.338099479675293,2.224590301513672,2.224590301513672,4.9488020095886895,83,18,largest_error
3p3s,7.585026741027832,5.374881744384766,-2.2101449966430664,2.2101449966430664,4.88474090618638,82,19,largest_error
2ya7,3.142667531967163,5.067887783050537,1.925220251083374,1.925220251083374,3.7064730151815297,81,20,largest_error
3rmf,4.086185932159424,6.007513999938965,1.921328067779541,1.921328067779541,3.6915015440374646,80,21,typical
2lzg,7.77211332321167,6.026213645935059,-1.7458996772766113,1.7458996772766113,3.0481656831145756,79,22,typical
2y6c,5.0,6.737913608551025,1.7379136085510254,1.7379136085510254,3.0203437107868467,78,23,typical
3p7a,6.28399658203125,7.995456695556641,1.7114601135253906,1.7114601135253906,2.929095720188343,77,24,typical
2yc0,2.823908805847168,4.481308937072754,1.657400131225586,1.657400131225586,2.7469751949865895,76,25,typical
2loz,4.062983989715576,5.690215110778809,1.6272311210632324,1.6272311210632324,2.647881121356704,75,26,typical
3qai,8.09691047668457,6.474469184875488,-1.622441291809082,1.622441291809082,2.632315745367123,74,27,typical
3qti,7.853871822357178,6.234184265136719,-1.619687557220459,1.619687557220459,2.6233877830147776,73,28,typical
3qt7,7.3098039627075195,5.720937252044678,-1.5888667106628418,1.5888667106628418,2.5244974242525586,72,29,typical
2yak,8.698969841003418,7.115691661834717,-1.5832781791687012,1.5832781791687012,2.506769792631758,71,30,typical
2m0u,6.43770694732666,4.907137870788574,-1.530569076538086,1.530569076538086,2.342641698054649,70,31,typical
3atl,4.764471530914307,3.2344472408294678,-1.5300242900848389,1.5300242900848389,2.340974328249615,69,32,typical
3orn,9.619789123535156,8.135562896728516,-1.4842262268066406,1.4842262268066406,2.2029274923406774,68,33,typical
3qci,5.4202165603637695,6.898775100708008,1.4785585403442383,1.4785585403442383,2.1861353572248845,67,34,typical
3q2m,3.798602819442749,5.271191120147705,1.472588300704956,1.472588300704956,2.16851630337311,66,35,typical
2xzc,5.638272285461426,6.985986232757568,1.3477139472961426,1.3477139472961426,1.8163328837365498,65,36,typical
3qxm,7.481485843658447,6.1410369873046875,-1.3404488563537598,1.3404488563537598,1.7968031365001025,64,37,typical
3au6,7.92081880569458,6.6977949142456055,-1.2230238914489746,1.2230238914489746,1.4957874390549932,63,38,typical
3qk5,7.744727611541748,6.54032039642334,-1.2044072151184082,1.2044072151184082,1.4505967398292796,62,39,typical
3r6c,4.721246242523193,5.87946081161499,1.1582145690917969,1.1582145690917969,1.3414609880564967,61,40,typical
2ylp,4.301030158996582,5.444486618041992,1.1434564590454102,1.1434564590454102,1.3074926737326678,60,41,typical
3pn4,6.853871822357178,7.992057800292969,1.138185977935791,1.138185977935791,1.295467320369653,59,42,typical
2lsv,5.266802787780762,4.1450042724609375,-1.1217985153198242,1.1217985153198242,1.258431908973762,58,43,typical
2xln,4.481485843658447,5.53328800201416,1.051802158355713,1.051802158355713,1.1062877803217361,57,44,typical
3r0i,6.92081880569458,5.882556915283203,-1.038261890411377,1.038261890411377,1.0779877530806061,56,45,typical
3rbq,6.267606258392334,5.2487006187438965,-1.0189056396484375,1.0189056396484375,1.0381687025073916,55,46,typical
3psb,8.522878646850586,7.557443618774414,-0.9654350280761719,0.9654350280761719,0.9320647934364388,54,47,typical
3arw,6.15490198135376,5.195926189422607,-0.9589757919311523,0.9589757919311523,0.9196345695099808,53,48,typical
2yix,8.481486320495605,7.5676589012146,-0.9138274192810059,0.9138274192810059,0.8350805522297833,52,49,typical
3r4m,5.92081880569458,6.808389663696289,0.887570858001709,0.887570858001709,0.7877820279738899,51,50,typical
2xx2,7.301030158996582,6.468112945556641,-0.8329172134399414,0.8329172134399414,0.6937510844445569,50,51,typical
3r22,7.7695512771606445,6.95485782623291,-0.8146934509277344,0.8146934509277344,0.6637254189845407,49,52,typical
3oj8,8.356547355651855,7.558927536010742,-0.7976198196411133,0.7976198196411133,0.6361973766843221,48,53,typical
2yaz,5.136677265167236,4.342279434204102,-0.7943978309631348,0.7943978309631348,0.6310679138389332,47,54,typical
3n2p,7.823908805847168,7.054804801940918,-0.76910400390625,0.76910400390625,0.591520968824625,46,55,typical
3oev,8.130767822265625,7.374264717102051,-0.7565031051635742,0.7565031051635742,0.5722969481221298,45,56,typical
2y07,6.221848964691162,5.468441009521484,-0.7534079551696777,0.7534079551696777,0.5676235469129551,44,57,typical
2lnw,5.853871822357178,5.117192268371582,-0.7366795539855957,0.7366795539855957,0.5426967652604162,43,58,typical
