pdb_id,true_affinity,predicted_affinity,residual,absolute_error,squared_error,rank_best,rank_worst,category
2xpk,11.301030158996582,6.100840091705322,-5.20019006729126,5.20019006729126,27.041976735954677,100,1,outlier
3q2m,3.798602819442749,7.435388088226318,3.6367852687835693,3.6367852687835693,13.226207091241179,99,2,outlier
2lsp,3.5622494220733643,6.78860330581665,3.226353883743286,3.226353883743286,10.409359383145386,98,3,outlier
3atu,8.301030158996582,5.204020023345947,-3.0970101356506348,3.0970101356506348,9.591471780322763,97,4,largest_error
3qg6,9.136676788330078,6.16948127746582,-2.967195510864258,2.967195510864258,8.804249199693004,96,5,largest_error
3qi3,3.7846269607543945,6.6362504959106445,2.85162353515625,2.85162353515625,8.131756786257029,95,6,largest_error
3qc4,8.698969841003418,5.8618550300598145,-2.8371148109436035,2.8371148109436035,8.04922045047556,94,7,largest_error
3p3s,7.585026741027832,4.935135841369629,-2.649890899658203,2.649890899658203,7.021921780091361,93,8,largest_error
3qti,7.853871822357178,5.204803466796875,-2.6490683555603027,2.6490683555603027,7.0175631524309665,92,9,largest_error
3p3r,7.251424312591553,4.6921305656433105,-2.559293746948242,2.559293746948242,6.549984483168373,91,10,largest_error
3rup,1.568636178970337,4.088904857635498,2.520268678665161,2.520268678665161,6.351754212660637,90,11,largest_error
2yc0,2.823908805847168,5.335165023803711,2.511256217956543,2.511256217956543,6.3064077922254,89,12,largest_error
2xiy,2.443697452545166,4.936582088470459,2.492884635925293,2.492884635925293,6.2144738080323805,88,13,largest_error
3rtm,4.415668964385986,6.8732218742370605,2.457552909851074,2.457552909851074,6.039566304717482,87,14,largest_error
3qx8,2.863279342651367,5.264095306396484,2.400815963745117,2.400815963745117,5.763917291773396,86,15,largest_error
3rul,6.853871822357178,4.455632209777832,-2.3982396125793457,2.3982396125793457,5.75155323934473,85,16,largest_error
3atl,4.764471530914307,2.4194180965423584,-2.3450534343719482,2.3450534343719482,5.499275610059669,84,17,largest_error
3ozj,5.113509178161621,7.243435859680176,2.1299266815185547,2.1299266815185547,4.536587668644643,83,18,largest_error
3orn,9.619789123535156,7.5631256103515625,-2.0566635131835938,2.0566635131835938,4.229864806460682,82,19,largest_error
2ndo,3.2479515075683594,5.26414680480957,2.016195297241211,2.016195297241211,4.065043476617575,81,20,largest_error
2ya7,3.142667531967163,5.120868682861328,1.978201150894165,1.978201150894165,3.913279793398999,80,21,typical
3rmf,4.086185932159424,6.041182518005371,1.9549965858459473,1.9549965858459473,3.8220116506693103,79,22,typical
3au6,7.92081880569458,6.064810752868652,-1.8560080528259277,1.8560080528259277,3.4447658921546918,78,23,typical
3pgu,6.698969841003418,4.860001564025879,-1.838968276977539,1.838968276977539,3.381804323729739,77,24,typical
3r22,7.7695512771606445,6.009163856506348,-1.7603874206542969,1.7603874206542969,3.0989638707978884,76,25,typical
2ycm,3.5622494220733643,5.3203511238098145,1.7581017017364502,1.7581017017364502,3.090921593648602,75,26,typical
2loz,4.062983989715576,5.760302543640137,1.6973185539245605,1.6973185539245605,2.8808902734965613,74,27,typical
3q2a,5.301030158996582,3.6788482666015625,-1.6221818923950195,1.6221818923950195,2.6314740920142867,73,28,typical
3r93,6.508638381958008,4.9002532958984375,-1.6083850860595703,1.6083850860595703,2.5869025850588514,72,29,typical
3qai,8.09691047668457,6.5570597648620605,-1.5398507118225098,1.5398507118225098,2.37114021470029,71,30,typical
2yi5,7.408935546875,5.877408981323242,-1.5315265655517578,1.5315265655517578,2.3455736209907627,70,31,typical
2xno,5.9281182289123535,7.450947284698486,1.5228290557861328,1.5228290557861328,2.319008333146485,69,32,typical
2ydv,7.86012077331543,6.357168674468994,-1.5029520988464355,1.5029520988464355,2.2588650114269058,68,33,typical
3oev,8.130767822265625,6.637217044830322,-1.4935507774353027,1.4935507774353027,2.230693924777597,67,34,typical
3r0i,6.92081880569458,5.435914516448975,-1.4849042892456055,1.4849042892456055,2.2049407482199967,66,35,typical
2lzg,7.77211332321167,6.28980827331543,-1.4823050498962402,1.4823050498962402,2.1972282609478953,65,36,typical
2m0u,6.43770694732666,4.956168174743652,-1.4815387725830078,1.4815387725830078,2.1949571346667653,64,37,typical
3r5m,4.340083599090576,5.75361442565918,1.4135308265686035,1.4135308265686035,1.9980693976597195,63,38,typical
3pj3,5.251811981201172,6.648606300354004,1.396794319152832,1.396794319152832,1.9510343700176236,62,39,typical
3o4l,5.091515064239502,6.457043170928955,1.3655281066894531,1.3655281066894531,1.8646670101588825,61,40,typical
2xx2,7.301030158996582,5.953854084014893,-1.3471760749816895,1.3471760749816895,1.8148833770030706,60,41,typical
3p7a,6.28399658203125,7.630742073059082,1.346745491027832,1.346745491027832,1.8137234176037964,59,42,typical
