bin,count,mean_prediction,mean_true,calibration_error
1,10,3.996579623222351,4.538743495941162,-0.542163872718811
2,10,4.756021928787232,5.579706478118896,-0.8236845493316647
3,10,5.097530746459961,5.6209105253219604,-0.5233797788619992
4,10,5.291499280929566,4.286200928688049,1.0052983522415166
5,10,5.5014533519744875,6.05012059211731,-0.5486672401428221
6,10,5.894562435150147,6.420816707611084,-0.5262542724609371
7,10,6.159302711486816,7.3325902938842775,-1.1732875823974611
8,10,6.565005874633789,6.793681669235229,-0.2286757946014406
9,10,7.039481735229492,6.519884943962097,0.5195967912673947
10,10,7.633028125762939,7.445942854881286,0.18708527088165283
