pdb_id,true_affinity,predicted_affinity,residual,absolute_error,squared_error,rank_best,rank_worst,category
2xn7,10.0,5.622745990753174,-4.377254009246826,4.377254009246826,19.160352661467414,100,1,outlier
2mov,7.397940158843994,3.6927907466888428,-3.7051494121551514,3.7051494121551514,13.728132166393664,99,2,outlier
3n75,7.892789840698242,4.322295665740967,-3.5704941749572754,3.5704941749572754,12.748428653403835,98,3,outlier
2ymt,8.0,5.028011322021484,-2.9719886779785156,2.9719886779785156,8.832716702032485,97,4,outlier
3lkj,4.602059841156006,7.395771026611328,2.7937111854553223,2.7937111854553223,7.804822187738182,96,5,largest_error
3qx8,2.863279342651367,5.602791786193848,2.7395124435424805,2.7395124435424805,7.504928428324092,95,6,largest_error
3qxp,7.698969841003418,5.0846028327941895,-2.6143670082092285,2.6143670082092285,6.834914853612872,94,7,largest_error
3nf7,3.4685211181640625,6.027963638305664,2.5594425201416016,2.5594425201416016,6.5507460139087925,93,8,largest_error
3qi3,3.7846269607543945,6.303102493286133,2.5184755325317383,2.5184755325317383,6.342719007961023,92,9,largest_error
3o9b,12.301030158996582,9.901296615600586,-2.399733543395996,2.399733543395996,5.758721079299903,91,10,largest_error
2yb9,9.221848487854004,6.906678676605225,-2.3151698112487793,2.3151698112487793,5.360011254917708,90,11,largest_error
2l84,7.721246242523193,5.668425559997559,-2.0528206825256348,2.0528206825256348,4.214072754605013,89,12,largest_error
2lp8,7.515700340270996,5.504035472869873,-2.011664867401123,2.011664867401123,4.046795538735978,88,13,largest_error
3qio,6.84163761138916,4.877279281616211,-1.9643583297729492,1.9643583297729492,3.8587036477483707,87,14,largest_error
2yde,3.7235381603240967,5.668114185333252,1.9445760250091553,1.9445760250091553,3.781375917040407,86,15,largest_error
2ya7,3.142667531967163,4.964993476867676,1.8223259449005127,1.8223259449005127,3.3208718494575464,85,16,largest_error
3re4,7.397940158843994,5.597627639770508,-1.8003125190734863,1.8003125190734863,3.241125166332722,84,17,largest_error
2xvd,8.698969841003418,6.902284622192383,-1.7966852188110352,1.7966852188110352,3.2280777754940573,83,18,largest_error
2l8r,3.9233596324920654,5.70526123046875,1.7819015979766846,1.7819015979766846,3.175173304871862,82,19,largest_error
2loz,4.062983989715576,5.800331115722656,1.73734712600708,1.73734712600708,3.018375036245061,81,20,largest_error
3nuy,3.4621808528900146,5.175863265991211,1.7136824131011963,1.7136824131011963,2.936707412972339,80,21,typical
2ydv,7.86012077331543,6.197608947753906,-1.6625118255615234,1.6625118255615234,2.7639455701319093,79,22,typical
2xno,5.9281182289123535,7.5509257316589355,1.622807502746582,1.622807502746582,2.633504190970598,78,23,typical
3m6p,8.346787452697754,6.752514362335205,-1.5942730903625488,1.5942730903625488,2.541706686654152,77,24,typical
3p9t,6.200659275054932,4.658823490142822,-1.5418357849121094,1.5418357849121094,2.3772575876355404,76,25,typical
3r22,7.7695512771606445,6.242125511169434,-1.527425765991211,1.527425765991211,2.3330294706138375,75,26,typical
2ydo,7.5100417137146,6.003993034362793,-1.5060486793518066,1.5060486793518066,2.268182624577321,74,27,typical
3q96,8.537602424621582,7.056634902954102,-1.4809675216674805,1.4809675216674805,2.1932648002339192,73,28,typical
2y9q,6.15490198135376,4.75270938873291,-1.4021925926208496,1.4021925926208496,1.96614406680078,72,29,typical
2y1d,6.823908805847168,5.422905921936035,-1.4010028839111328,1.4010028839111328,1.962809080727311,71,30,typical
3ptg,7.602059841156006,6.2405500411987305,-1.3615097999572754,1.3615097999572754,1.8537089353797,70,31,typical
3qbh,6.823908805847168,5.470237731933594,-1.3536710739135742,1.3536710739135742,1.8324253763503293,69,32,typical
3ppp,5.221848964691162,3.9041507244110107,-1.3176982402801514,1.3176982402801514,1.7363286524374075,68,33,typical
2ym8,7.886056423187256,6.603216648101807,-1.2828397750854492,1.2828397750854492,1.645677888541286,67,34,typical
2xp7,5.7695512771606445,4.512650966644287,-1.2569003105163574,1.2569003105163574,1.5797983905761157,66,35,typical
2yne,8.568635940551758,7.369028568267822,-1.1996073722839355,1.1996073722839355,1.4390578476379687,65,36,typical
3ri1,5.301030158996582,6.489381313323975,1.1883511543273926,1.1883511543273926,1.4121784659912464,64,37,typical
2yiv,2.7798919677734375,3.959850311279297,1.1799583435058594,1.1799583435058594,1.3923016924090916,63,38,typical
2lto,3.113509178161621,4.23130464553833,1.117795467376709,1.117795467376709,1.2494667068879153,62,39,typical
3qbn,8.229147911071777,7.1161346435546875,-1.1130132675170898,1.1130132675170898,1.238798533669069,61,40,typical
3otx,4.531652450561523,5.638744354248047,1.1070919036865234,1.1070919036865234,1.2256524832082505,60,41,typical
3ove,6.568636417388916,5.51120138168335,-1.0574350357055664,1.0574350357055664,1.1181688547376325,59,42,typical
3oe5,6.879426002502441,5.840932846069336,-1.0384931564331055,1.0384931564331055,1.0784680359583945,58,43,typical
2y07,6.221848964691162,5.205929279327393,-1.0159196853637695,1.0159196853637695,1.0320928071096205,57,44,typical
3p3t,7.237246513366699,6.241375923156738,-0.9958705902099609,0.9958705902099609,0.991758232445136,56,45,typical
2ycr,7.157390594482422,8.137880325317383,0.9804897308349609,0.9804897308349609,0.9613601122728141,55,46,typical
2ndf,4.225482940673828,5.185678958892822,0.9601960182189941,0.9601960182189941,0.9219763934036109,54,47,typical
2y4a,4.376750946044922,5.303182601928711,0.9264316558837891,0.9264316558837891,0.8582756130235794,53,48,typical
3l9n,8.06550121307373,7.1902384757995605,-0.8752627372741699,0.8752627372741699,0.7660848592606726,52,49,typical
3oy0,7.995678424835205,7.124212265014648,-0.8714661598205566,0.8714661598205566,0.759453267712388,51,50,typical
3aje,5.031517028808594,4.167143821716309,-0.8643732070922852,0.8643732070922852,0.7471410411390025,50,51,typical
2xu4,6.4685211181640625,7.310625076293945,0.8421039581298828,0.8421039581298828,0.7091390762980154,49,52,typical
3r5m,4.340083599090576,5.145378589630127,0.8052949905395508,0.8052949905395508,0.6485000217880952,48,53,typical
3ql9,6.301030158996582,5.498991012573242,-0.8020391464233398,0.8020391464233398,0.6432667923954796,47,54,typical
3o5n,4.764471530914307,5.562405586242676,0.7979340553283691,0.7979340553283691,0.6366987566527769,46,55,typical
3r0i,6.92081880569458,6.126755237579346,-0.7940635681152344,0.7940635681152344,0.6305369502078975,45,56,typical
3arb,6.630784034729004,5.858500003814697,-0.7722840309143066,0.7722840309143066,0.5964226244052497,44,57,typical
2lya,4.187086582183838,4.955338478088379,0.768251895904541,0.768251895904541,0.5902109755609217,43,58,typical
3oob,4.665546417236328,3.918339252471924,-0.7472071647644043,0.7472071647644043,0.5583185470752596,42,59,typical
3ozs,5.333014488220215,6.073105812072754,0.7400913238525391,0.7400913238525391,0.5477351676418039,41,60,typical
3arf,7.193819999694824,6.459944725036621,-0.7338752746582031,0.7338752746582031,0.5385729187546531,40,61,typical
2y6d,7.102373123168945,6.394975185394287,-0.7073979377746582,0.7073979377746582,0.5004118423678392,39,62,typical
2yer,7.698969841003418,6.996653079986572,-0.7023167610168457,0.7023167610168457,0.49324883280519316,38,63,typical
3n87,4.958607196807861,5.658317565917969,0.6997103691101074,0.6997103691101074,0.48959460064020277,37,64,typical
3o0g,6.221848964691162,5.52860164642334,-0.6932473182678223,0.6932473182678223,0.48059184428552726,36,65,typical
2y1w,6.332547187805176,5.653568744659424,-0.678978443145752,0.678978443145752,0.4610117262566291,35,66,typical
3qs6,4.892789840698242,5.55415153503418,0.6613616943359375,0.6613616943359375,0.437399290734902,34,67,typical
3r9n,5.853871822357178,6.503398895263672,0.6495270729064941,0.6495270729064941,0.42188541843847815,33,68,typical
2xp6,4.698969841003418,5.3061347007751465,0.6071648597717285,0.6071648597717285,0.36864916694162275,32,69,typical
3pkn,4.6575775146484375,5.248043060302734,0.5904655456542969,0.5904655456542969,0.34864956060482655,31,70,typical
2xnp,6.443697452545166,6.959188461303711,0.5154910087585449,0.5154910087585449,0.26573098011090224,30,71,typical
3r2b,8.397939682006836,7.883081436157227,-0.5148582458496094,0.5148582458496094,0.2650790133193368,29,72,typical
2llq,5.823908805847168,5.320466995239258,-0.5034418106079102,0.5034418106079102,0.2534536566681709,28,73,typical
2x24,6.481485843658447,6.91363525390625,0.43214941024780273,0.43214941024780273,0.1867531127775237,27,74,typical
2xk1,5.744727611541748,5.347317218780518,-0.39741039276123047,0.39741039276123047,0.15793502027463546,26,75,typical
2y7p,5.4685211181640625,5.126398086547852,-0.34212303161621094,0.34212303161621094,0.11704816876226687,25,76,typical
2yhw,5.602059841156006,5.260025501251221,-0.34203433990478516,0.34203433990478516,0.11698748967410211,24,77,typical
3qzq,5.638272285461426,5.903599739074707,0.26532745361328125,0.26532745361328125,0.07039865764090791,23,78,typical
3apc,7.443697452545166,7.69375467300415,0.2500572204589844,0.2500572204589844,0.06252861350367311,22,79,typical
2lgf,5.568636417388916,5.805666923522949,0.2370305061340332,0.2370305061340332,0.05618346083815595,21,80,typical
2yig,7.100179672241211,6.869237422943115,-0.2309422492980957,0.2309422492980957,0.053334322510863785,20,81,best_prediction
3p3u,6.482672214508057,6.252291202545166,-0.23038101196289062,0.23038101196289062,0.05307541067304555,19,82,best_prediction
3po6,7.058985710144043,6.829509258270264,-0.2294764518737793,0.2294764518737793,0.052659441964578946,18,83,best_prediction
3psb,8.522878646850586,8.296417236328125,-0.22646141052246094,0.22646141052246094,0.05128477045582258,17,84,best_prediction
3qck,5.236571788787842,5.452474594116211,0.21590280532836914,0.21590280532836914,0.04661402134865966,16,85,best_prediction
3rk9,6.28399658203125,6.47846794128418,0.1944713592529297,0.1944713592529297,0.03781910956968204,15,86,best_prediction
3p3h,7.443697452545166,7.625245094299316,0.1815476417541504,0.1815476417541504,0.03295954622649333,14,87,best_prediction
2yj9,7.022276401519775,7.157372951507568,0.13509654998779297,0.13509654998779297,0.018251077818604244,13,88,best_prediction
3r16,7.301030158996582,7.1714019775390625,-0.12962818145751953,0.12962818145751953,0.01680346542798361,12,89,best_prediction
2ylq,4.301030158996582,4.414685249328613,0.11365509033203125,0.11365509033203125,0.012917479558382183,11,90,best_prediction
3aza,5.130768299102783,5.028747081756592,-0.1020212173461914,0.1020212173461914,0.010408328788798826,10,91,best_prediction
3q44,6.3098039627075195,6.407147407531738,0.09734344482421875,0.09734344482421875,0.00947574625024572,9,92,best_prediction
2ybk,4.619788646697998,4.535757064819336,-0.08403158187866211,0.08403158187866211,0.007061306753030294,8,93,best_prediction
3m94,5.07572078704834,4.995848178863525,-0.07987260818481445,0.07987260818481445,0.006379633538244889,7,94,best_prediction
3r0h,5.92081880569458,5.842638969421387,-0.07817983627319336,0.07817983627319336,0.00611208679970332,6,95,best_prediction
2l75,6.045757293701172,6.115518569946289,0.06976127624511719,0.06976127624511719,0.004866635663347552,5,96,best_prediction
3art,4.431798458099365,4.364400863647461,-0.0673975944519043,0.0673975944519043,0.004542435737903361,4,97,best_prediction
3at4,8.09691047668457,8.113558769226074,0.016648292541503906,0.016648292541503906,0.0002771656445474946,3,98,best_prediction
3nc4,4.575118541717529,4.567680358886719,-0.007438182830810547,0.007438182830810547,5.53265638245648e-05,2,99,best_prediction
3opr,6.585026741027832,6.588122367858887,0.0030956268310546875,0.0030956268310546875,9.582905477145687e-06,1,100,best_prediction
