pdb_id,true_affinity,predicted_affinity,residual,absolute_error,squared_error,rank_best,rank_worst,category
2ndo,3.2479515075683594,8.757975578308105,5.510024070739746,5.510024070739746,30.360365260131402,10,1,best_prediction
2ltw,4.223299026489258,8.730544090270996,4.507245063781738,4.507245063781738,20.315258064984846,9,2,best_prediction
2lct,5.138465404510498,8.698744773864746,3.560279369354248,3.560279369354248,12.675589187849482,8,3,best_prediction
2lsr,5.2441253662109375,8.690444946289062,3.446319580078125,3.446319580078125,11.877118648029864,7,4,best_prediction
2lgf,5.568636417388916,8.778252601623535,3.209616184234619,3.209616184234619,10.301636050100797,6,5,best_prediction
2liq,5.853871822357178,8.748045921325684,2.894174098968506,2.894174098968506,8.376243715140163,5,6,best_prediction
2xhs,6.004364967346191,8.7471342086792,2.742769241333008,2.742769241333008,7.522783111202443,4,7,best_prediction
2l75,6.045757293701172,8.78255558013916,2.7367982864379883,2.7367982864379883,7.490064860649909,3,8,best_prediction
2x2r,7.118044853210449,8.818071365356445,1.700026512145996,1.700026512145996,2.8900901419992806,2,9,best_prediction
2lp8,7.515700340270996,8.777005195617676,1.2613048553466797,1.2613048553466797,1.5908899381211086,1,10,best_prediction
