bin,count,mean_prediction,mean_true,calibration_error
1,1,8.690444946289062,5.2441253662109375,3.446319580078125
2,1,8.698744773864746,5.138465404510498,3.560279369354248
3,1,8.730544090270996,4.223299026489258,4.507245063781738
4,1,8.7471342086792,6.004364967346191,2.742769241333008
5,1,8.748045921325684,5.853871822357178,2.894174098968506
6,1,8.757975578308105,3.2479515075683594,5.510024070739746
7,1,8.777005195617676,7.515700340270996,1.2613048553466797
8,1,8.778252601623535,5.568636417388916,3.209616184234619
9,1,8.78255558013916,6.045757293701172,2.7367982864379883
10,1,8.818071365356445,7.118044853210449,1.700026512145996
