pdb_id,true_affinity,predicted_affinity,residual,absolute_error,squared_error,rank_best,rank_worst,category
2xpk,11.301030158996582,6.254326820373535,-5.046703338623047,5.046703338623047,25.469214588069008,100,1,outlier
2xiy,2.443697452545166,6.728584289550781,4.284886837005615,4.284886837005615,18.360255205943986,99,2,outlier
3qg6,9.136676788330078,5.498671531677246,-3.638005256652832,3.638005256652832,13.235082247433638,98,3,outlier
2ndo,3.2479515075683594,6.716833114624023,3.468881607055664,3.468881607055664,12.033139603769087,97,4,outlier
2ycm,3.5622494220733643,6.864311218261719,3.3020617961883545,3.3020617961883545,10.903612105846662,96,5,largest_error
3rup,1.568636178970337,4.82364559173584,3.255009412765503,3.255009412765503,10.595086277192024,95,6,largest_error
3atu,8.301030158996582,5.115252494812012,-3.1857776641845703,3.1857776641845703,10.149179325617297,94,7,largest_error
3rul,6.853871822357178,3.8125150203704834,-3.0413568019866943,3.0413568019866943,9.249851196990733,93,8,largest_error
2lsp,3.5622494220733643,6.378808498382568,2.816559076309204,2.816559076309204,7.933005030339757,92,9,largest_error
3orn,9.619789123535156,6.888404846191406,-2.73138427734375,2.73138427734375,7.460460070520639,91,10,largest_error
3r5m,4.340083599090576,7.004843235015869,2.664759635925293,2.664759635925293,7.1009439172567,90,11,largest_error
2loz,4.062983989715576,6.6983160972595215,2.6353321075439453,2.6353321075439453,6.9449753170520125,89,12,largest_error
3q2m,3.798602819442749,6.431464195251465,2.632861375808716,2.632861375808716,6.931959024225364,88,13,largest_error
3qi3,3.7846269607543945,6.38155460357666,2.5969276428222656,2.5969276428222656,6.744033182054409,87,14,largest_error
2yc0,2.823908805847168,5.412360668182373,2.588451862335205,2.588451862335205,6.7000830436265915,86,15,largest_error
3qx8,2.863279342651367,5.428153991699219,2.5648746490478516,2.5648746490478516,6.57858196532834,85,16,largest_error
3au6,7.92081880569458,5.516651630401611,-2.4041671752929688,2.4041671752929688,5.780019806756172,84,17,largest_error
3rmf,4.086185932159424,6.308475494384766,2.222289562225342,2.222289562225342,4.938570898375701,83,18,largest_error
3qc4,8.698969841003418,6.5241289138793945,-2.1748409271240234,2.1748409271240234,4.729933058293682,82,19,largest_error
2ya7,3.142667531967163,5.30869197845459,2.1660244464874268,2.1660244464874268,4.6916619027811635,81,20,largest_error
3rtm,4.415668964385986,6.534473419189453,2.118804454803467,2.118804454803467,4.489332317695016,80,21,typical
3qt7,7.3098039627075195,5.202295780181885,-2.1075081825256348,2.1075081825256348,4.441590739412504,79,22,typical
3muz,3.4559319019317627,5.396273136138916,1.9403412342071533,1.9403412342071533,3.764924105164539,78,23,typical
3pj3,5.251811981201172,7.122917175292969,1.8711051940917969,1.8711051940917969,3.501034647357301,77,24,typical
3oli,7.380906581878662,5.589046001434326,-1.791860580444336,1.791860580444336,3.2107643397503125,76,25,typical
3psb,8.522878646850586,6.742342948913574,-1.7805356979370117,1.7805356979370117,3.1703073716280414,75,26,typical
2yak,8.698969841003418,7.002884864807129,-1.696084976196289,1.696084976196289,2.8767042464787664,74,27,typical
