bin,count,mean_prediction,mean_true,calibration_error
1,10,4.895598077774048,4.570203256607056,0.32539482116699237
2,10,5.548691654205323,5.286054515838623,0.2626371383666992
3,10,5.718221521377563,5.262949585914612,0.4552719354629513
4,10,5.977828025817871,6.160352516174316,-0.18252449035644513
5,10,6.265999174118042,5.151728677749634,1.114270496368408
6,10,6.433792495727539,7.308007907867432,-0.8742154121398924
7,10,6.683283758163452,5.5304759502410885,1.1528078079223638
8,10,6.8691552639007565,7.179455351829529,-0.3103000879287725
9,10,7.076136255264283,6.866895627975464,0.20924062728881854
10,10,7.358313369750976,7.272475099563598,0.08583827018737811
