Run ID,Timestamp,Git Commit,Dataset Version,Dataset Hash,Config Hash,Split Strategy,Seed,Best Validation RMSE,Test Metrics,Experiment Status,Duration,Checkpoint Path,model_type,bias_type,num_rbf,alpha_init,alpha_final,localization_score,attention_entropy,runtime_overhead,memory_overhead
run_060,2026-07-17T06:22:24+00:00,8a90ecaca59d5859191d24badc304efd778eb1f4,pdbbind2020_local,73620bf3aece16ffc1849391e7746f84685ea3263eaf1b9957b4a65b879c03ca,d1e051d3860014194af6f7829d33771ad3b032044a29de7337b80110747295a8,random,3407,1.744008616746205,"{""best_epoch"": 2, ""bias"": -0.40868725776672366, ""config_hash"": ""d1e051d3860014194af6f7829d33771ad3b032044a29de7337b80110747295a8"", ""dataset_hash"": ""73620bf3aece16ffc1849391e7746f84685ea3263eaf1b9957b4a65b879c03ca"", ""dataset_version"": ""pdbbind2020_local"", ""effective_split_strategy"": ""random"", ""loss"": 5.3992390632629395, ""mae"": 1.7331206798553467, ""mean_prediction"": 5.340420341491699, ""median_absolute_error"": 1.3898160457611084, ""mse"": 5.399238572908064, ""pcc"": 0.801399413799913, ""r2"": -0.02507395622456743, ""rmse"": 2.3236261689239224, ""seed"": 3407, ""spearman"": 0.0, ""split_strategy"": ""random"", ""test_count"": 5}",SUCCESS,21.437,experiments\run_060\checkpoint.pt,,,,,,,,,
run_061,2026-07-15T17:20:11+00:00,8a90ecaca59d5859191d24badc304efd778eb1f4,pdbbind2020_local,2d103978df720498866c1afc80a4443b4df4aee1a23a330284d61274d02c055c,2e87e638ce637dad427a826d956aff5b868c3d9c8afc5453e35c076ba4af7d97,random,42,1.3095751582396062,"{""best_epoch"": 24, ""bias"": -0.2023031806945801, ""config_hash"": ""2e87e638ce637dad427a826d956aff5b868c3d9c8afc5453e35c076ba4af7d97"", ""dataset_hash"": ""2d103978df720498866c1afc80a4443b4df4aee1a23a330284d61274d02c055c"", ""dataset_version"": ""pdbbind2020_local"", ""effective_split_strategy"": ""random"", ""loss"": 2.616988298892975, ""mae"": 1.2820238018035888, ""mean_prediction"": 5.856556668281555, ""median_absolute_error"": 1.071984052658081, ""mse"": 2.616988282535159, ""pcc"": 0.4204170062115809, ""r2"": 0.139651019255443, ""rmse"": 1.6177108154843864, ""seed"": 42, ""spearman"": 0.4714876356173928, ""split_strategy"": ""random"", ""test_count"": 100}",SUCCESS,617.047,experiments\run_061\checkpoint.pt,,,,,,,,,
run_062,2026-07-15T17:29:42+00:00,8a90ecaca59d5859191d24badc304efd778eb1f4,pdbbind2020_local,a87f68b049964ecd394a906e2405f6fbe0920728793e246bf0b468f164b873a7,d73a35eea3b7a4c13812a5cd9e7fb75ec8bcebded945c4144fffd23d1bbc7224,random,123,1.3791600415004128,"{""best_epoch"": 24, ""bias"": -0.3015777003765106, ""config_hash"": ""d73a35eea3b7a4c13812a5cd9e7fb75ec8bcebded945c4144fffd23d1bbc7224"", ""dataset_hash"": ""a87f68b049964ecd394a906e2405f6fbe0920728793e246bf0b468f164b873a7"", ""dataset_version"": ""pdbbind2020_local"", ""effective_split_strategy"": ""random"", ""loss"": 2.306016199588776, ""mae"": 1.1716746056079865, ""mean_prediction"": 6.285342841148377, ""median_absolute_error"": 0.8663861751556396, ""mse"": 2.3060162174069165, ""pcc"": 0.6059660265270455, ""r2"": 0.3347670237706061, ""rmse"": 1.5185572815692256, ""seed"": 123, ""spearman"": 0.5418175600442505, ""split_strategy"": ""random"", ""test_count"": 100}",SUCCESS,565.407,experiments\run_062\checkpoint.pt,,,,,,,,,
run_063,2026-07-15T18:05:20+00:00,8a90ecaca59d5859191d24badc304efd778eb1f4,pdbbind2020_local,8ec9ade309c5dca5f937980e144f5a24ed2d78acb1123cb04118b3ae8dd8caf1,5e690b72c79e94eda770d4f9ce39dac3995b703b78ee5b5f179380e3eaa299a5,random,777,1.6097597788302098,"{""best_epoch"": 8, ""bias"": -0.014302682876586915, ""config_hash"": ""5e690b72c79e94eda770d4f9ce39dac3995b703b78ee5b5f179380e3eaa299a5"", ""dataset_hash"": ""8ec9ade309c5dca5f937980e144f5a24ed2d78acb1123cb04118b3ae8dd8caf1"", ""dataset_version"": ""pdbbind2020_local"", ""effective_split_strategy"": ""random"", ""loss"": 2.6869260597229006, ""mae"": 1.2965964126586913, ""mean_prediction"": 6.1111603403091435, ""median_absolute_error"": 1.1012301445007324, ""mse"": 2.686926039695885, ""pcc"": 0.3919063519467559, ""r2"": 0.13430513319183301, ""rmse"": 1.6391845654763484, ""seed"": 777, ""spearman"": 0.4094512288440267, ""split_strategy"": ""random"", ""test_count"": 100}",SUCCESS,2132.750,experiments\run_063\checkpoint.pt,,,,,,,,,
run_064,2026-07-15T18:14:16+00:00,8a90ecaca59d5859191d24badc304efd778eb1f4,pdbbind2020_local,48be054ce88831b3502d4c8388b62404c817b37dc3f44f1ac14b1bf65b9699d4,67a85242a607b46dabf1084e65ad4bca43021a847a6e2c4d494537fdbd343ff4,random,2024,1.450413421878031,"{""best_epoch"": 19, ""bias"": 0.01586554408073425, ""config_hash"": ""67a85242a607b46dabf1084e65ad4bca43021a847a6e2c4d494537fdbd343ff4"", ""dataset_hash"": ""48be054ce88831b3502d4c8388b62404c817b37dc3f44f1ac14b1bf65b9699d4"", ""dataset_version"": ""pdbbind2020_local"", ""effective_split_strategy"": ""random"", ""loss"": 2.6556855726242063, ""mae"": 1.2615002191066742, ""mean_prediction"": 6.432738153934479, ""median_absolute_error"": 0.9560375213623047, ""mse"": 2.6556855895727383, ""pcc"": 0.55587833663605, ""r2"": 0.3062255748351884, ""rmse"": 1.6296274388867962, ""seed"": 2024, ""spearman"": 0.5196733215361382, ""split_strategy"": ""random"", ""test_count"": 100}",SUCCESS,529.391,experiments\run_064\checkpoint.pt,,,,,,,,,
run_065,2026-07-15T18:36:32+00:00,8a90ecaca59d5859191d24badc304efd778eb1f4,pdbbind2020_local,2942f95d4cdc0f1c0a59ffc0543ecdf6ffef66c8fb05f12da6b855c2de4359ce,c3b1b76f8fffc7205dbeae1272573a2428d06caa82fc5908685d5024d0768281,random,3407,1.3275763392646458,"{""best_epoch"": 27, ""bias"": 0.1261513948440552, ""config_hash"": ""c3b1b76f8fffc7205dbeae1272573a2428d06caa82fc5908685d5024d0768281"", ""dataset_hash"": ""2942f95d4cdc0f1c0a59ffc0543ecdf6ffef66c8fb05f12da6b855c2de4359ce"", ""dataset_version"": ""pdbbind2020_local"", ""effective_split_strategy"": ""random"", ""loss"": 1.8560613775253296, ""mae"": 1.0770587778091432, ""mean_prediction"": 6.364354028701782, ""median_absolute_error"": 0.9307019710540771, ""mse"": 1.8560613727389432, ""pcc"": 0.5914714941208375, ""r2"": 0.3419586254582082, ""rmse"": 1.3623734336586806, ""seed"": 3407, ""spearman"": 0.5408301955333367, ""split_strategy"": ""random"", ""test_count"": 100}",SUCCESS,314.797,experiments\run_065\checkpoint.pt,,,,,,,,,
2026-07-16 15:46:36,test_framework_run,irm,1.5535,1.2178,REJECTED,,,,,,,,,,,,,,,,
run_066,2026-07-16T16:01:19+00:00,8a90ecaca59d5859191d24badc304efd778eb1f4,pdbbind2020_local,5f2e38eabc1520844a2ccb73d0db73326883b8b15a83e3fd38969995676d10b4,b3ea8afebc6da3ed1fdad27d3fcf566de31d4284c34f2eab2638afd4ad441d18,random,42,0.22849035263061523,"{""best_epoch"": 2, ""bias"": 0.1005105972290039, ""config_hash"": ""b3ea8afebc6da3ed1fdad27d3fcf566de31d4284c34f2eab2638afd4ad441d18"", ""dataset_hash"": ""5f2e38eabc1520844a2ccb73d0db73326883b8b15a83e3fd38969995676d10b4"", ""dataset_version"": ""pdbbind2020_local"", ""effective_split_strategy"": ""random"", ""loss"": 0.016653012484312057, ""mae"": 0.1005105972290039, ""mean_prediction"": 4.322359561920166, ""median_absolute_error"": 0.1005105972290039, ""mse"": 0.010102380155331048, ""pcc"": NaN, ""r2"": NaN, ""rmse"": 0.1005105972290039, ""seed"": 42, ""spearman"": NaN, ""split_strategy"": ""random"", ""test_count"": 1}",SUCCESS,22.594,experiments\run_066\checkpoint.pt,,,,,,,,,
run_071,2026-07-16T16:14:49+00:00,8a90ecaca59d5859191d24badc304efd778eb1f4,pdbbind2020_local,2d103978df720498866c1afc80a4443b4df4aee1a23a330284d61274d02c055c,8cc939a2ed002a1e98f38643b13764f4e28618e8c28b2100a7a24f527163fa01,random,42,1.4118225394181387,"{""best_epoch"": 9, ""bias"": -0.06846165180206298, ""config_hash"": ""8cc939a2ed002a1e98f38643b13764f4e28618e8c28b2100a7a24f527163fa01"", ""dataset_hash"": ""2d103978df720498866c1afc80a4443b4df4aee1a23a330284d61274d02c055c"", ""dataset_version"": ""pdbbind2020_local"", ""effective_split_strategy"": ""random"", ""loss"": 2.641264877319336, ""mae"": 1.2886162137985229, ""mean_prediction"": 5.9903981971740725, ""median_absolute_error"": 1.1184675693511963, ""mse"": 2.637232138303813, ""pcc"": 0.37384953236274665, ""r2"": 0.13299574273275683, ""rmse"": 1.6239557070018298, ""seed"": 42, ""spearman"": 0.3951766309064731, ""split_strategy"": ""random"", ""test_count"": 100}",SUCCESS,549.828,experiments\run_071\checkpoint.pt,,,,,,,,,
run_072,2026-07-16T16:26:13+00:00,8a90ecaca59d5859191d24badc304efd778eb1f4,pdbbind2020_local,a87f68b049964ecd394a906e2405f6fbe0920728793e246bf0b468f164b873a7,2b73d3ac21a8a4ff0cef80d3e370551331731a91be29fdd6f4b2ee1eba0d9ec5,random,123,1.4000030105467036,"{""best_epoch"": 19, ""bias"": -0.5573466432094574, ""config_hash"": ""2b73d3ac21a8a4ff0cef80d3e370551331731a91be29fdd6f4b2ee1eba0d9ec5"", ""dataset_hash"": ""a87f68b049964ecd394a906e2405f6fbe0920728793e246bf0b468f164b873a7"", ""dataset_version"": ""pdbbind2020_local"", ""effective_split_strategy"": ""random"", ""loss"": 2.7597576808929443, ""mae"": 1.3392199671268463, ""mean_prediction"": 6.02957389831543, ""median_absolute_error"": 1.1199235916137695, ""mse"": 2.755582031377922, ""pcc"": 0.5439930517421733, ""r2"": 0.20507756097263086, ""rmse"": 1.6599945877556113, ""seed"": 123, ""spearman"": 0.46691049627301523, ""split_strategy"": ""random"", ""test_count"": 100}",SUCCESS,676.235,experiments\run_072\checkpoint.pt,,,,,,,,,
