pdb_id,true_affinity,predicted_affinity,residual,absolute_error,squared_error,rank_best,rank_worst,category
3rbu,9.431797981262207,5.037862300872803,-4.393935680389404,4.393935680389404,19.306670763399097,100,1,outlier
3o9h,12.09691047668457,7.918370723724365,-4.178539752960205,4.178539752960205,17.46019446706873,99,2,outlier
2xn6,8.795880317687988,4.762819766998291,-4.033060550689697,4.033060550689697,16.265577405529484,98,3,outlier
3o9i,11.823908805847168,8.108182907104492,-3.715725898742676,3.715725898742676,13.806618954587066,97,4,outlier
2ll6,10.0,6.306983470916748,-3.693016529083252,3.693016529083252,13.63837108408211,96,5,outlier
3ps1,10.173925399780273,6.551649570465088,-3.6222758293151855,3.6222758293151855,13.120882183641015,95,6,outlier
3rt4,8.795880317687988,5.7482829093933105,-3.0475974082946777,3.0475974082946777,9.287849963044437,94,7,largest_error
3qxv,8.397939682006836,5.3995232582092285,-2.9984164237976074,2.9984164237976074,8.990501050499233,93,8,largest_error
3rwc,8.119186401367188,5.255011558532715,-2.8641748428344727,2.8641748428344727,8.203497530325876,92,9,largest_error
3o99,10.823908805847168,7.968344211578369,-2.855564594268799,2.855564594268799,8.15424915204153,91,10,largest_error
3oay,1.6989699602127075,4.531287670135498,2.8323177099227905,2.8323177099227905,8.02202360994228,90,11,largest_error
2yne,8.568635940551758,5.849815368652344,-2.718820571899414,2.718820571899414,7.391985302183457,89,12,largest_error
3ay9,8.341988563537598,5.6795573234558105,-2.662431240081787,2.662431240081787,7.088540108163443,88,13,largest_error
3orn,9.619789123535156,7.067723751068115,-2.552065372467041,2.552065372467041,6.513037665345337,87,14,largest_error
3p8o,8.723538398742676,6.185722827911377,-2.537815570831299,2.537815570831299,6.440507871553791,86,15,largest_error
2yln,7.677780628204346,5.218054294586182,-2.459726333618164,2.459726333618164,6.050253636294656,85,16,largest_error
3pxf,4.431798458099365,6.868321895599365,2.4365234375,2.4365234375,5.936646461486816,84,17,largest_error
3qkd,8.376750946044922,6.010005474090576,-2.3667454719543457,2.3667454719543457,5.601484129016399,83,18,largest_error
3qri,9.09691047668457,6.768560886383057,-2.3283495903015137,2.3283495903015137,5.421211814657227,82,19,largest_error
3n7h,4.50445556640625,6.820897579193115,2.3164420127868652,2.3164420127868652,5.3659035986040635,81,20,largest_error
3rwe,7.3665313720703125,5.115370273590088,-2.2511610984802246,2.2511610984802246,5.0677262913106915,80,21,typical
3o75,6.679853916168213,4.4544548988342285,-2.2253990173339844,2.2253990173339844,4.952400786351063,79,22,typical
2yq6,7.346787452697754,5.21926736831665,-2.1275200843811035,2.1275200843811035,4.526341709444978,78,23,typical
3muz,3.4559319019317627,5.568588733673096,2.112656831741333,2.112656831741333,4.463318888703327,77,24,typical
3oev,8.130767822265625,6.028075695037842,-2.102692127227783,2.102692127227783,4.4213141819057,76,25,typical
3nf9,3.537601947784424,5.590485572814941,2.0528836250305176,2.0528836250305176,4.214331177918439,75,26,typical
3re4,7.397940158843994,5.3527512550354,-2.0451889038085938,2.0451889038085938,4.182797652261797,74,27,typical
3q2m,3.798602819442749,5.819193363189697,2.0205905437469482,2.0205905437469482,4.082786145479588,73,28,typical
3aqt,6.721246242523193,4.747202396392822,-1.974043846130371,1.974043846130371,3.8968491064451882,72,29,typical
2lwi,3.1118204593658447,5.0476393699646,1.9358189105987549,1.9358189105987549,3.74739485463175,71,30,typical
3qti,7.853871822357178,5.9949493408203125,-1.8589224815368652,1.8589224815368652,3.455592792363177,70,31,typical
3p50,4.619788646697998,6.427484035491943,1.8076953887939453,1.8076953887939453,3.267762618666893,69,32,typical
3que,8.823908805847168,7.044673442840576,-1.7792353630065918,1.7792353630065918,3.1656784769731985,68,33,typical
3q92,7.92081880569458,6.178738117218018,-1.7420806884765625,1.7420806884765625,3.034845125162974,67,34,typical
2l65,4.221848964691162,5.862711429595947,1.6408624649047852,1.6408624649047852,2.6924296287334073,66,35,typical
2y82,8.397939682006836,6.7707200050354,-1.6272196769714355,1.6272196769714355,2.647843877123023,65,36,typical
3qpp,7.92081880569458,6.3222126960754395,-1.5986061096191406,1.5986061096191406,2.555541493711644,64,37,typical
2xv1,5.9871625900268555,4.414059638977051,-1.5731029510498047,1.5731029510498047,2.474652894601604,63,38,typical
2lzg,7.77211332321167,6.207944393157959,-1.564168930053711,1.564168930053711,2.446624441745371,62,39,typical
3qs5,4.707744121551514,6.197760105133057,1.490015983581543,1.490015983581543,2.220147631328473,61,40,typical
3iaw,5.804100513458252,7.246644496917725,1.4425439834594727,1.4425439834594727,2.0809331442151233,60,41,typical
2yi7,8.318758964538574,6.909535884857178,-1.4092230796813965,1.4092230796813965,1.9859096883067195,59,42,typical
3mmf,7.431798458099365,6.074438571929932,-1.3573598861694336,1.3573598861694336,1.8424258605818977,58,43,typical
2xxn,6.408935546875,5.07891321182251,-1.3300223350524902,1.3300223350524902,1.7689594117384786,57,44,typical
3rj7,7.596879482269287,6.286088943481445,-1.3107905387878418,1.3107905387878418,1.7181718365757206,56,45,typical
3r7n,6.148741722106934,4.884689807891846,-1.264051914215088,1.264051914215088,1.597827241830828,55,46,typical
3qem,7.221848964691162,6.069690227508545,-1.1521587371826172,1.1521587371826172,1.3274697556662431,54,47,typical
3np9,4.400116920471191,5.544347286224365,1.1442303657531738,1.1442303657531738,1.309263129911642,53,48,typical
2ydw,7.337242126464844,6.203171253204346,-1.134070873260498,1.134070873260498,1.2861167455778286,52,49,typical
3qiz,5.214670181274414,6.323604106903076,1.108933925628662,1.108933925628662,1.229734451410195,51,50,typical
3ntp,4.92081880569458,6.017330646514893,1.0965118408203125,1.0965118408203125,1.2023382170591503,50,51,typical
2xrw,5.148741722106934,6.13750696182251,0.9887652397155762,0.9887652397155762,0.9776566992698008,49,52,typical
3ll8,6.397940158843994,5.430800914764404,-0.9671392440795898,0.9671392440795898,0.9353583174388405,48,53,typical
3otx,4.531652450561523,5.450338840484619,0.9186863899230957,0.9186863899230957,0.8439846830299302,47,54,typical
2ypp,4.408935546875,5.3245930671691895,0.9156575202941895,0.9156575202941895,0.838428694471304,46,55,typical
2y07,6.221848964691162,5.327940464019775,-0.8939085006713867,0.8939085006713867,0.7990724075725666,45,56,typical
3mrv,3.744727611541748,4.607880115509033,0.8631525039672852,0.8631525039672852,0.7450322451049942,44,57,typical
2yig,7.100179672241211,6.282328128814697,-0.8178515434265137,0.8178515434265137,0.6688811470851306,43,58,typical
2xhs,6.004364967346191,5.24416971206665,-0.760195255279541,0.760195255279541,0.5778968261495265,42,59,typical
3prz,7.585026741027832,6.825162410736084,-0.759864330291748,0.759864330291748,0.5773938004497268,41,60,typical
2lcs,6.698969841003418,5.948104381561279,-0.7508654594421387,0.7508654594421387,0.563798938183254,40,61,typical
2x6y,4.585026741027832,5.317816257476807,0.7327895164489746,0.7327895164489746,0.536980475417522,39,62,typical
3qyy,5.083019733428955,5.81244421005249,0.7294244766235352,0.7294244766235352,0.5320600670975182,38,63,typical
3ral,7.0,6.294933795928955,-0.7050662040710449,0.7050662040710449,0.49711835212315236,37,64,typical
2yiq,7.897223472595215,7.197241306304932,-0.6999821662902832,0.6999821662902832,0.4899750331244377,36,65,typical
2l8j,5.522878646850586,4.824409008026123,-0.6984696388244629,0.6984696388244629,0.48785983635957564,35,66,typical
2xm1,5.070580959320068,4.403242588043213,-0.6673383712768555,0.6673383712768555,0.4453405017784462,34,67,typical
3qup,6.32239294052124,6.965210437774658,0.642817497253418,0.642817497253418,0.413214334775148,33,68,typical
3pm1,5.9281182289123535,5.342982769012451,-0.5851354598999023,0.5851354598999023,0.3423835064322702,32,69,typical
2lsv,5.266802787780762,4.692005634307861,-0.5747971534729004,0.5747971534729004,0.330391767640549,31,70,typical
3rhx,6.07572078704834,6.640218257904053,0.5644974708557129,0.5644974708557129,0.3186573946024964,30,71,typical
3arv,5.638272285461426,5.088711738586426,-0.549560546875,0.549560546875,0.3020167946815491,29,72,typical
3r0i,6.92081880569458,6.3994221687316895,-0.5213966369628906,0.5213966369628906,0.27185445303621236,28,73,typical
2n27,6.552842140197754,7.064831733703613,0.5119895935058594,0.5119895935058594,0.2621333438582951,27,74,typical
2lty,5.376750946044922,4.888902187347412,-0.48784875869750977,0.48784875869750977,0.2379964113627011,26,75,typical
3prs,7.823908805847168,7.349462985992432,-0.47444581985473633,0.47444581985473633,0.22509883597763292,25,76,typical
3p55,7.096909999847412,6.636850357055664,-0.46005964279174805,0.46005964279174805,0.2116548749256708,24,77,typical
3arg,7.259637355804443,6.823991775512695,-0.43564558029174805,0.43564558029174805,0.1897870716277339,23,78,typical
3axm,5.070580959320068,4.639673709869385,-0.4309072494506836,0.4309072494506836,0.18568105762915366,22,79,typical
3plu,5.77211332321167,6.158356189727783,0.3862428665161133,0.3862428665161133,0.1491835519345841,21,80,typical
3qxh,5.236571788787842,5.595999240875244,0.35942745208740234,0.35942745208740234,0.1291880933140419,20,81,best_prediction
3rw9,5.958607196807861,6.313819408416748,0.3552122116088867,0.3552122116088867,0.12617571527607652,19,82,best_prediction
3arr,5.397940158843994,5.738833904266357,0.3408937454223633,0.3408937454223633,0.11620854566808703,18,83,best_prediction
3rhk,6.261219501495361,6.549200057983398,0.2879805564880371,0.2879805564880371,0.08293280091515953,17,84,best_prediction
3mqf,5.2441253662109375,5.518115997314453,0.2739906311035156,0.2739906311035156,0.07507086593250278,16,85,best_prediction
2y56,6.508638381958008,6.236653804779053,-0.2719845771789551,0.2719845771789551,0.07397561022321497,15,86,best_prediction
3oy1,7.79587984085083,7.535172939300537,-0.26070690155029297,0.26070690155029297,0.06796808851595415,14,87,best_prediction
3ayc,4.2441253662109375,4.502813816070557,0.25868844985961914,0.25868844985961914,0.06691971409077269,13,88,best_prediction
3os3,6.628931999206543,6.842636585235596,0.21370458602905273,0.21370458602905273,0.0456696500898488,12,89,best_prediction
3m94,5.07572078704834,4.866964817047119,-0.2087559700012207,0.2087559700012207,0.04357905501115056,11,90,best_prediction
3r17,6.408935546875,6.595512390136719,0.18657684326171875,0.18657684326171875,0.034810918441507965,10,91,best_prediction
3r88,4.823908805847168,4.662498950958252,-0.16140985488891602,0.16140985488891602,0.026053141255260925,9,92,best_prediction
3rkz,7.0809221267700195,7.22462272644043,0.14370059967041016,0.14370059967041016,0.020649862345635484,8,93,best_prediction
3pju,4.882728576660156,5.024447917938232,0.14171934127807617,0.14171934127807617,0.020084371692291825,7,94,best_prediction
3qaq,7.0,6.860665798187256,-0.13933420181274414,0.13933420181274414,0.019414019794794513,6,95,best_prediction
3pjt,4.882728576660156,5.019092082977295,0.13636350631713867,0.13636350631713867,0.01859500585510432,5,96,best_prediction
2y1n,4.7695512771606445,4.693970203399658,-0.07558107376098633,0.07558107376098633,0.005712498710863656,4,97,best_prediction
3ogq,7.522878646850586,7.596956729888916,0.07407808303833008,0.07407808303833008,0.005487562386633726,3,98,best_prediction
3arb,6.630784034729004,6.607870101928711,-0.02291393280029297,0.02291393280029297,0.000525048316376342,2,99,best_prediction
2mg5,6.15490198135376,6.150135040283203,-0.004766941070556641,0.004766941070556641,2.272372717015969e-05,1,100,best_prediction
