bin,count,mean_prediction,mean_true,calibration_error
1,10,4.3801556587219235,4.099034070968628,0.28112158775329554
2,10,4.743078184127808,4.854955124855041,-0.11187694072723353
3,10,5.026888656616211,6.422788143157959,-1.3958994865417482
4,10,5.194260740280152,5.2649283647537235,-0.07066762447357178
5,10,5.38305892944336,6.281398630142212,-0.8983397006988518
6,10,5.633083009719849,7.275454568862915,-1.6423715591430659
7,10,5.914555883407592,6.427775859832764,-0.5132199764251713
8,10,6.276083755493164,6.3674907922744755,-0.09140703678131157
9,10,6.630482625961304,6.7396488904953005,-0.10916626453399658
10,10,6.992039775848388,6.855124044418335,0.13691573143005353
