target	representative_code	rank1	rank2	rank3	rank4	rank5	spearman	kendall	predictive_index
1	5c2h	5c28	3uuo	4llx	3ui7	5c2h	-0.7	-0.6	-0.6028368794326241
2	3uri	2v00	3pww	3wz8	3prs	3uri	-0.8999999999999998	-0.7999999999999999	-0.8817034700315457
3	4rfm	4rfm	3qgy	4qd6	4m0y	4m0z	0.8999999999999998	0.7999999999999999	0.9294117647058823
4	4ty7	4ty7	4cr9	4crc	4x6p	4cra	0.39999999999999997	0.39999999999999997	0.032414910858995026
5	4agq	5aba	4agq	5a7b	4agp	4agn	-0.3	-0.19999999999999998	-0.32046332046332066
6	5dwr	3jya	3bgz	2c3i	5dwr	4k18	-0.7999999999999999	-0.6	-0.7589658048373646
7	4twp	3pyy	2v7a	4twp	3k5v	3mss	0.6	0.39999999999999997	0.5047318611987383
8	3u8n	4qac	3wtj	3u8k	3u8n	3zdg	0.0	0.0	0.10020876826722357
9	3o9i	2qnq	3o9i	1g2k	1eby	1a30	0.3	0.19999999999999998	0.30810520665593144
10	3p5o	3u5j	4wiv	3p5o	4ogj	4lzs	0.09999999999999999	0.0	0.17637540453074446
11	3ejr	3ejr	3d4z	1ps3	3dx1	3dx2	0.3	0.19999999999999998	0.3040455120101137
12	3ebp	3ebp	3l7b	3g2n	4eky	3syr	0.09999999999999999	0.0	0.058139534883721034
13	2vvn	2xj7	2wca	2vvn	2w66	2w4x	0.6	0.39999999999999997	0.6221419975932612
14	3arp	3arp	3arv	3ary	3arq	3aru	0.6	0.39999999999999997	0.8236658932714616
15	3gnw	4ih7	4eo8	3gnw	3cj4	4ih5	0.3	0.19999999999999998	0.3025601241272305
16	1e66	1e66	1h22	1h23	1gpn	1gpk	0.9999999999999999	0.9999999999999999	1.0
17	3f3e	4mme	3f3c	3f3a	3f3e	3f3d	-0.49999999999999994	-0.19999999999999998	-0.3676470588235295
18	2cet	2cet	2wbg	2j7h	2cbv	2j78	0.3	0.19999999999999998	0.2451977401129943
19	4gid	3udh	3rsx	4djv	2vkm	4gid	-0.9999999999999999	-0.9999999999999999	-1.0
20	4pcs	2xii	4pcs	4j28	4jfs	2wvt	0.6	0.39999999999999997	0.7117117117117118
21	3ge7	3ge7	1s38	1r5y	3rr4	3gc5	0.3	0.19999999999999998	0.3342939481268012
22	3e93	3e93	4f9w	2zb1	3e92	4dli	0.7	0.6	0.6633906633906634
23	3qqs	4gkm	3qqs	4owm	3twp	3r88	0.49999999999999994	0.19999999999999998	0.37302725968436146
24	2r9w	2r9w	3gr2	4kz6	3gv9	4jxs	0.3	0.19999999999999998	0.13691931540342284
25	2qbp	2qbq	2qbp	2qbr	1bzc	2hb1	0.8999999999999998	0.7999999999999999	0.9180887372013651
26	3ag9	1ydr	1q8u	1q8t	1ydt	3ag9	-0.7	-0.6	-0.766109785202864
27	4tmn	4tmn	5tmn	3fcq	1qf1	1z9g	0.7	0.6	0.5686046511627907
28	3coy	3ivg	3coy	4ddk	3coz	4ddh	0.3	0.19999999999999998	0.24819773429454164
29	2fvd	3pxf	2xnb	4eor	1pxn	2fvd	-0.8999999999999998	-0.7999999999999999	-0.9413067552602435
30	4ivc	4e5w	4ivb	4ivd	4ivc	4k77	0.0	-0.19999999999999998	0.09069767441860478
31	4jia	4f09	4e6q	4gfm	4jia	4hge	-0.49999999999999994	-0.39999999999999997	-0.5339805825242719
32	1nvq	2brb	3jvr	3jvs	1nvq	2br1	-0.39999999999999997	-0.39999999999999997	-0.37775061124694365
33	2zcq	2zcr	3acw	2zcq	4ea2	2zy1	-0.3	-0.19999999999999998	-0.301762114537445
34	3utu	1oyt	2zda	3utu	1bcu	3bv9	0.49999999999999994	0.19999999999999998	0.4847161572052402
35	2p4y	3fur	3u9q	2p4y	2yfe	3b1m	-0.3	-0.19999999999999998	-0.28944995491433734
36	3myg	2wtv	3uo4	3myg	3up2	3e5a	0.09999999999999999	0.0	0.014432989690721525
37	1sqa	1sqa	1o5b	1owh	1c5z	3kgp	0.8999999999999998	0.7999999999999999	0.9022195560887822
38	3dd0	2weg	3ryj	3dd0	4jsz	3kwa	0.49999999999999994	0.19999999999999998	0.6039719626168224
39	2yki	2yki	3rlr	1yc1	2xdl	3b27	0.8999999999999998	0.7999999999999999	0.863395225464191
40	3g0w	3g0w	1z95	3b65	3b5r	3b68	0.39999999999999997	0.39999999999999997	0.10405643738977058
41	2al5	4u4s	1syi	2al5	1p1q	1p1n	-0.49999999999999994	-0.39999999999999997	-0.5602175602175601
42	4de1	3g31	4de3	4de2	4de1	3g2z	0.09999999999999999	0.0	0.06307222787385555
43	3fv1	3gbb	3fv1	4dld	3fv2	1vso	0.49999999999999994	0.39999999999999997	0.48471615720524036
44	2p15	2p15	1qkt	2pog	4mgd	2qe4	0.7999999999999999	0.6	0.7054687500000001
45	1mq6	2xbv	1lpg	1z6e	2y5h	1mq6	-0.3	-0.19999999999999998	-0.3101123595505619
